date,code,name,score
2020-12-31,7111,Šumperk,81
2020-12-31,7112,Uničov,90
2020-12-31,7113,Zábřeh,83
2020-12-31,7201,Bystřice pod Hostýnem,94
2020-12-31,7202,Holešov,94
2020-12-31,7203,Kroměříž,84
2020-12-31,7204,Luhačovice,95
2020-12-31,7205,Otrokovice,94
2020-12-31,7206,Rožnov pod Radhoštěm,89
2020-12-31,7207,Uherské Hradiště,95
2020-12-31,7208,Uherský Brod,93
2020-12-31,7209,Valašské Klobouky,86
2020-12-31,7210,Valašské Meziříčí,94
2020-12-31,7211,Vizovice,84
2020-12-31,7212,Vsetín,89
2020-12-31,7213,Zlín,89
2020-12-31,8101,Bílovec,94
2020-12-31,8102,Bohumín,94
2020-12-31,8103,Bruntál,89
2020-12-31,8104,Český Těšín,89
2020-12-31,8105,Frenštát pod Radhoštěm,90
2020-12-31,8106,Frýdek-Místek,94
2020-12-31,8107,Frýdlant nad Ostravicí,89
2020-12-31,8108,Havířov,89
2020-12-31,8109,Hlučín,84
2020-12-31,8110,Jablunkov,85
2020-12-31,8111,Karviná,89
2020-12-31,8112,Kopřivnice,90
2020-12-31,8113,Kravaře,84
2020-12-31,8114,Krnov,99
2020-12-31,8115,Nový Jičín,94
2020-12-31,8116,Odry,94
2020-12-31,8117,Opava,94
2020-12-31,8118,Orlová,89
2020-12-31,8119,Ostrava,89
2020-12-31,8120,Rýmařov,93
2020-12-31,8121,Třinec,84
2020-12-31,8122,Vítkov,100
