code_region,name_region,incidence_65_7,incidence_7,population,population_65,testy_7,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score,date
CZ010,Praha,1128,13053,1324277,251166,110571,2099.0321511285024,20,True,0,968.682066840257,20,True,2,11.805084515831457,11,False,0,0.887536547222411,5,58,2021-12-03
CZ020,Středočeský kraj,1197,14033,1385141,255825,94371,2110.8320380380046,20,True,0,913.5150982116681,16,True,2,14.870034226616227,11,False,0,0.9339767054908485,5,54,2021-12-03
CZ031,Jihočeský kraj,750,7628,644083,131832,30853,2511.6328175095446,20,True,0,1127.950725165362,20,True,2,24.723689754642987,25,False,0,0.905615576397958,5,72,2021-12-03
CZ032,Plzeňský kraj,487,5137,589899,119690,28351,1870.3201734534218,20,True,0,879.7727462611748,16,True,2,18.119290324856266,15,False,0,0.8737880591937405,5,58,2021-12-03
CZ041,Karlovarský kraj,172,1359,294664,60178,9628,915.2797762875682,16,True,0,518.4618963740902,16,True,2,14.115081013710013,11,False,0,0.9883636363636363,5,50,2021-12-03
CZ042,Ústecký kraj,758,7697,820965,161527,41446,1854.5248579415688,20,True,0,910.0645712481505,16,True,2,18.571152825363125,15,False,0,1.018660667019587,10,63,2021-12-03
CZ051,Liberecký kraj,341,4078,443690,89906,20204,1869.999323852239,20,True,0,734.1000600627322,16,True,2,20.18412195604831,20,False,0,0.9568277803847959,5,63,2021-12-03
CZ052,Královéhradecký kraj,520,5485,551647,119407,28588,1905.5664220053766,20,True,0,838.3093118493891,16,True,2,19.18637190429551,20,False,0,1.0580632716049383,10,68,2021-12-03
CZ053,Pardubický kraj,527,6543,522662,106085,27704,2588.6710723182478,20,True,0,1052.9292548428148,20,True,2,23.617528154779095,25,False,0,0.9451105012277914,5,72,2021-12-03
CZ063,Kraj Vysočina,573,6336,509813,104291,23147,2406.1763823205765,20,True,0,1049.9467835191915,20,True,2,27.37287769473366,30,False,0,1.0737163192679207,10,82,2021-12-03
CZ064,Jihomoravský kraj,1473,15462,1191989,238620,62667,2718.145888930183,20,True,0,1231.6654094375995,20,True,2,24.67327301450524,25,False,0,0.913074288413842,5,72,2021-12-03
CZ071,Olomoucký kraj,945,8867,632015,130935,32189,3098.027736683465,20,True,0,1459.5028067361668,20,True,2,27.546677436391313,30,False,0,0.857875386996904,5,77,2021-12-03
CZ072,Zlínský kraj,818,8318,582555,121339,32004,3006.0680965745723,20,True,0,1356.5300521678932,20,True,2,25.990501187351583,25,False,0,0.9222751968067413,5,72,2021-12-03
CZ080,Moravskoslezský kraj,1484,14577,1200539,240829,62500,2620.9894055919885,20,True,0,1273.5177241943454,20,True,2,23.3232,25,False,0,0.8688680932228646,5,72,2021-12-03
