code_region,name_region,incidence_65_7,incidence_7,population,population_65,testy_7,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score,date
CZ010,Praha,7,105,1324277,251166,3690,16.612838552659298,2,True,0,9.953576519114849,0,True,2,2.8455284552845526,0,False,0,0.860655737704918,5,9,2020-06-23
CZ020,Středočeský kraj,1,29,1385141,255825,1697,7.1472868105124325,0,True,0,3.5180299032541775,0,True,2,1.7088980553918678,0,False,0,0.5918367346938775,0,2,2020-06-23
CZ031,Jihočeský kraj,0,1,644083,131832,604,0.6210379718141916,0,False,0,0.0,0,False,0,0.16556291390728478,0,False,0,0.0,0,0,2020-06-23
CZ032,Plzeňský kraj,2,7,589899,119690,673,1.3561643603396514,0,True,0,1.6709833737154316,0,True,2,1.040118870728083,0,True,2,7.0,30,34,2020-06-23
CZ041,Karlovarský kraj,1,2,294664,60178,320,1.3574783482203459,0,False,0,1.661736847352853,0,True,2,0.625,0,True,2,2.0,30,34,2020-06-23
CZ042,Ústecký kraj,0,2,820965,161527,638,0.6090393622139799,0,False,0,0.0,0,False,0,0.3134796238244514,0,False,0,0.6666666666666666,0,0,2020-06-23
CZ051,Liberecký kraj,5,42,443690,89906,514,9.691451238477315,0,True,0,5.561364091384335,0,True,2,8.171206225680933,7,True,2,14.0,30,41,2020-06-23
CZ052,Královéhradecký kraj,2,7,551647,119407,489,1.8127534455911118,0,True,0,1.6749436800187594,0,True,2,1.4314928425357873,0,True,2,1.75,25,29,2020-06-23
CZ053,Pardubický kraj,5,17,522662,106085,645,4.400549494702121,0,True,0,5.655842013479757,0,True,2,2.635658914728682,0,True,2,4.25,30,34,2020-06-23
CZ063,Kraj Vysočina,0,5,509813,104291,361,0.9807517658435544,0,True,0,0.0,0,False,0,1.3850415512465373,0,True,2,0.0,0,2,2020-06-23
CZ064,Jihomoravský kraj,3,24,1191989,238620,1309,4.026882798415087,0,True,0,3.352610845696086,0,True,2,1.8334606569900689,0,True,2,0.8571428571428571,5,9,2020-06-23
CZ071,Olomoucký kraj,5,26,632015,130935,1178,9.018773288608656,0,False,0,10.692328254477413,2,True,2,2.2071307300509337,0,False,0,1.3,15,19,2020-06-23
CZ072,Zlínský kraj,0,5,582555,121339,523,1.2016032820935363,0,True,0,0.0,0,False,0,0.9560229445506693,0,True,2,5.0,30,32,2020-06-23
CZ080,Moravskoslezský kraj,48,251,1200539,240829,5106,28.237316738564928,4,True,0,21.592084009816094,2,True,2,4.915785350567959,3,True,2,1.7310344827586206,25,38,2020-06-23
