code_region,name_region,incidence_65_7,incidence_7,population,population_65,testy_7,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score,date
CZ010,Praha,1021,26764,1324277,251166,115289,3171.39087970266,20,True,0,625.8808915219417,16,True,2,23.214703917980035,25,True,2,1.4592443160133035,20,85,2022-01-21
CZ020,Středočeský kraj,619,20835,1385141,255825,86850,2255.87142392002,20,True,0,388.54685820385026,13,True,2,23.989637305699482,25,True,2,1.6944534808067664,25,87,2022-01-21
CZ031,Jihočeský kraj,228,5375,644083,131832,20086,1273.7488801909071,20,True,0,265.48941076521635,13,True,2,26.759932291148065,30,True,2,1.7188999040614008,25,92,2022-01-21
CZ032,Plzeňský kraj,195,5413,589899,119690,22498,1347.518812542486,20,True,0,271.5347982287576,13,True,2,24.059916437016625,25,True,2,1.9277065527065527,30,92,2022-01-21
CZ041,Karlovarský kraj,114,2754,294664,60178,11040,1385.306654358863,20,True,0,290.80394828674935,13,True,2,24.945652173913043,25,True,2,1.7563775510204083,25,87,2022-01-21
CZ042,Ústecký kraj,391,9214,820965,161527,34957,1670.1077390631758,20,True,0,385.07494103153033,13,True,2,26.358097090711446,30,True,2,1.7695410024966391,25,92,2022-01-21
CZ051,Liberecký kraj,149,4220,443690,89906,15724,1459.1268678581894,20,True,0,311.43638911752276,13,True,2,26.83795471890104,30,True,2,1.6549019607843136,25,92,2022-01-21
CZ052,Královéhradecký kraj,217,5615,551647,119407,22156,1526.157125843157,20,True,0,295.627559523311,13,True,2,25.3430222061744,25,True,2,1.6846684668466847,25,87,2022-01-21
CZ053,Pardubický kraj,194,4953,522662,106085,19221,1413.7243572327814,20,True,0,314.84187208370645,13,True,2,25.768690494771345,25,True,2,1.8129575402635432,25,87,2022-01-21
CZ063,Kraj Vysočina,126,3210,509813,104291,13622,956.2329716974655,16,True,0,223.41333384472296,10,True,2,23.56482161209808,25,True,2,1.7455138662316476,25,80,2022-01-21
CZ064,Jihomoravský kraj,365,10675,1191989,238620,43184,1389.3584588448382,20,True,0,261.9227223200067,13,True,2,24.719803630974436,25,True,2,1.6201244498406435,25,87,2022-01-21
CZ071,Olomoucký kraj,231,5154,632015,130935,24147,1277.8177733123423,20,True,0,294.80276473059155,13,True,2,21.34426636849298,20,True,2,1.5814667075790119,20,77,2022-01-21
CZ072,Zlínský kraj,244,5917,582555,121339,20457,1649.6296487026975,20,True,0,360.1480150652305,13,True,2,28.92408466539571,30,True,2,1.4344242424242424,20,87,2022-01-21
CZ080,Moravskoslezský kraj,362,7870,1200539,240829,34106,1002.2998003396807,20,True,0,281.9427892820217,13,True,2,23.07511874743447,25,True,2,1.682702587128501,25,87,2022-01-21
