code_region,name_region,incidence_65_7,incidence_7,population,population_65,testy_7,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score,date
CZ010,Praha,24,433,1324277,251166,7675,69.32084450609653,7,True,0,19.5090099774651,2,True,2,5.641693811074918,3,False,0,0.885480572597137,5,19,2020-08-20
CZ020,Středočeský kraj,17,204,1385141,255825,4814,33.8593688295993,4,True,0,10.554089709762533,2,True,2,4.23764021603656,3,False,0,0.9400921658986175,5,16,2020-08-20
CZ031,Jihočeský kraj,11,61,644083,131832,1787,19.25217712623994,2,True,0,11.378117604223558,2,True,2,3.4135422495803023,3,True,2,1.1730769230769231,10,21,2020-08-20
CZ032,Plzeňský kraj,16,98,589899,119690,1954,32.03938301302426,4,True,0,40.93909265602807,4,True,2,5.015353121801433,3,False,0,1.380281690140845,15,28,2020-08-20
CZ041,Karlovarský kraj,2,17,294664,60178,454,7.126761328156816,0,False,0,3.323473694705706,0,True,2,3.7444933920704844,3,True,2,3.4,30,37,2020-08-20
CZ042,Ústecký kraj,2,39,820965,161527,1860,12.911634478936373,2,False,0,4.952732360534152,0,True,2,2.0967741935483875,0,False,0,0.5735294117647058,0,4,2020-08-20
CZ051,Liberecký kraj,1,21,443690,89906,1099,12.39604228177331,2,False,0,3.336818454830601,0,True,2,1.910828025477707,0,False,0,0.7241379310344828,0,4,2020-08-20
CZ052,Královéhradecký kraj,7,69,551647,119407,1808,21.027939968856895,2,True,0,7.537246560084417,0,True,2,3.8163716814159288,3,True,2,1.0,10,19,2020-08-20
CZ053,Pardubický kraj,11,107,522662,106085,1701,29.84720526841439,4,True,0,12.254324362539473,2,True,2,6.290417401528512,3,True,2,1.4266666666666667,20,33,2020-08-20
CZ063,Kraj Vysočina,12,68,509813,104291,1137,24.12649343975144,2,True,0,17.259399181137393,2,True,2,5.980650835532102,3,True,2,1.0461538461538462,10,21,2020-08-20
CZ064,Jihomoravský kraj,18,168,1191989,238620,2491,24.07740339885687,2,True,0,11.315061604224288,2,True,2,6.744279405861101,3,True,2,1.2537313432835822,15,26,2020-08-20
CZ071,Olomoucký kraj,5,43,632015,130935,1199,12.499703329826032,2,False,0,6.109901859701378,0,True,2,3.586321934945788,3,True,2,1.131578947368421,10,19,2020-08-20
CZ072,Zlínský kraj,11,79,582555,121339,1702,25.062011312236613,4,True,0,14.834472016416816,2,True,2,4.6415981198589895,3,True,2,0.9186046511627907,5,18,2020-08-20
CZ080,Moravskoslezský kraj,33,173,1200539,240829,8646,33.98473518977726,4,False,0,27.820569781878426,4,True,2,2.0009252833680313,0,False,0,0.8606965174129353,5,15,2020-08-20
