date,code,name,score
2020-03-16,CZ010,Praha,62
2020-03-16,CZ020,Středočeský kraj,64
2020-03-16,CZ031,Jihočeský kraj,33
2020-03-16,CZ032,Plzeňský kraj,62
2020-03-16,CZ041,Karlovarský kraj,62
2020-03-16,CZ042,Ústecký kraj,11
2020-03-16,CZ051,Liberecký kraj,62
2020-03-16,CZ052,Královéhradecký kraj,45
2020-03-16,CZ053,Pardubický kraj,41
2020-03-16,CZ063,Kraj Vysočina,64
2020-03-16,CZ064,Jihomoravský kraj,37
2020-03-16,CZ071,Olomoucký kraj,64
2020-03-16,CZ072,Zlínský kraj,45
2020-03-16,CZ080,Moravskoslezský kraj,37
2020-03-17,CZ010,Praha,64
2020-03-17,CZ020,Středočeský kraj,64
2020-03-17,CZ031,Jihočeský kraj,35
2020-03-17,CZ032,Plzeňský kraj,54
2020-03-17,CZ041,Karlovarský kraj,62
2020-03-17,CZ042,Ústecký kraj,10
2020-03-17,CZ051,Liberecký kraj,64
2020-03-17,CZ052,Královéhradecký kraj,35
2020-03-17,CZ053,Pardubický kraj,41
2020-03-17,CZ063,Kraj Vysočina,47
2020-03-17,CZ064,Jihomoravský kraj,41
2020-03-17,CZ071,Olomoucký kraj,64
2020-03-17,CZ072,Zlínský kraj,45
2020-03-17,CZ080,Moravskoslezský kraj,37
2020-03-18,CZ010,Praha,64
2020-03-18,CZ020,Středočeský kraj,62
2020-03-18,CZ031,Jihočeský kraj,37
2020-03-18,CZ032,Plzeňský kraj,45
2020-03-18,CZ041,Karlovarský kraj,62
2020-03-18,CZ042,Ústecký kraj,15
2020-03-18,CZ051,Liberecký kraj,57
2020-03-18,CZ052,Královéhradecký kraj,42
2020-03-18,CZ053,Pardubický kraj,35
2020-03-18,CZ063,Kraj Vysočina,47
2020-03-18,CZ064,Jihomoravský kraj,37
2020-03-18,CZ071,Olomoucký kraj,64
2020-03-18,CZ072,Zlínský kraj,54
2020-03-18,CZ080,Moravskoslezský kraj,37
2020-03-19,CZ010,Praha,66
2020-03-19,CZ020,Středočeský kraj,62
2020-03-19,CZ031,Jihočeský kraj,37
2020-03-19,CZ032,Plzeňský kraj,43
2020-03-19,CZ041,Karlovarský kraj,64
2020-03-19,CZ042,Ústecký kraj,39
2020-03-19,CZ051,Liberecký kraj,62
2020-03-19,CZ052,Královéhradecký kraj,29
2020-03-19,CZ053,Pardubický kraj,35
2020-03-19,CZ063,Kraj Vysočina,47
