id,den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,code_cz,name_cz,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
25f15d3d-b5ba-427b-b548-063806da6aed,tuesday,2020-05-26,1000,nezařazení,57,4,0,257,52,34,27,10,5682,1000,Praha,1324277,251166,CZ010,Praha,CZ,ČR,14.045399867248316,2,False,0,7.564718154527285,0,True,2,1.0031678986272439,0,False,0,0.5181818181818182,0,4
d1ccc759-2050-47c3-a7fb-f6b4e4c92d6c,tuesday,2020-05-26,2101,Benešov,1,0,0,4,1,0,0,0,187,2101,Benešov,61022,12125,CZ020,Středočeský kraj,CZ,ČR,6.555012946150569,0,False,0,8.24742268041237,0,True,2,0.53475935828877,0,False,0,0.3333333333333333,0,2
30c4f680-cc72-4edb-8de3-4a9720979a61,tuesday,2020-05-26,2102,Beroun,1,1,1,1,1,1,1,1,180,2102,Beroun,64927,11392,CZ020,Středočeský kraj,CZ,ČR,1.5401912917584364,0,True,0,8.77808988764045,0,True,2,0.5555555555555556,0,True,2,0.0,0,4
d977a542-2216-447d-b85d-c5a1871df6da,tuesday,2020-05-26,2103,Brandýs nad Labem-Stará Boleslav,4,0,0,13,1,1,1,0,367,2103,Brandýs nad Labem-Stará Boleslav,113282,16416,CZ020,Středočeský kraj,CZ,ČR,9.710280538832295,0,False,0,0.0,0,False,0,1.08991825613079,0,False,0,0.5714285714285714,0,0
1dd982c2-dc19-45fa-a981-bb1c88d98441,tuesday,2020-05-26,2104,Čáslav,0,0,0,0,0,0,0,0,72,2104,Čáslav,25663,5212,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
c5a6c519-87c2-4447-879d-f6a690917529,tuesday,2020-05-26,2105,Černošice,3,0,0,14,4,1,0,0,565,2105,Černošice,149338,23399,CZ020,Středočeský kraj,CZ,ČR,10.044328971862486,2,False,0,8.547373819393991,0,True,2,0.5309734513274336,0,False,0,0.42857142857142855,0,4
f8a6b5ee-485b-4d4e-96c7-7c0686a3179f,tuesday,2020-05-26,2106,Český Brod,0,0,0,1,0,0,0,0,59,2106,Český Brod,21537,3709,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
7ba99d4d-a77d-4077-beb1-23aba0e3619b,tuesday,2020-05-26,2107,Dobříš,0,0,0,0,0,0,0,0,41,2107,Dobříš,23079,4340,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
cad40ddc-30c8-40e2-86e8-441682fbfefe,tuesday,2020-05-26,2108,Hořovice,0,0,0,1,0,0,0,0,71,2108,Hořovice,30131,6103,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
313890ca-eb35-4d77-ad24-108648e41491,tuesday,2020-05-26,2109,Kladno,0,0,0,3,0,0,0,0,581,2109,Kladno,125957,24239,CZ020,Středočeský kraj,CZ,ČR,0.7939217351953445,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
