id,den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,code_cz,name_cz,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
c69f3c74-6428-4dd5-a34a-bb10b73d8946,monday,2021-04-26,1000,nezařazení,1548,197,66,4419,398,98,300,145,18450,1000,Praha,1324277,251166,CZ010,Praha,CZ,ČR,265.2013136224521,13,False,0,187.92352468088833,10,True,2,8.390243902439025,7,False,0,0.864321608040201,5,37
b2d55256-6c75-4bfc-b692-fd51f7c324aa,monday,2021-04-26,2101,Benešov,92,16,10,195,31,9,15,8,409,2101,Benešov,61022,12125,CZ020,Středočeský kraj,CZ,ČR,345.77693290944245,13,False,0,296.90721649484533,13,True,2,22.493887530562347,20,False,0,1.15,10,58
5e8c3a25-00ec-4952-91f8-89ecd1f8dfe4,monday,2021-04-26,2102,Beroun,118,14,3,295,40,10,10,6,665,2102,Beroun,64927,11392,CZ020,Středočeský kraj,CZ,ČR,406.6105010242272,13,False,0,298.4550561797753,13,True,2,17.74436090225564,15,False,0,0.959349593495935,5,48
66082215-3b60-4328-8cf3-8ee023cb94a3,monday,2021-04-26,2103,Brandýs nad Labem-Stará Boleslav,180,12,7,539,23,6,29,14,1261,2103,Brandýs nad Labem-Stará Boleslav,113282,16416,CZ020,Středočeský kraj,CZ,ČR,346.9218410691902,13,False,0,146.19883040935673,10,True,2,14.274385408406026,11,False,0,0.8737864077669902,5,41
cf513edc-aacd-4d31-aa9c-776b8da5adac,monday,2021-04-26,2104,Čáslav,49,3,0,103,5,2,6,3,192,2104,Čáslav,25663,5212,CZ020,Středočeský kraj,CZ,ČR,420.8393406850329,13,False,0,172.67843438219492,10,True,2,25.520833333333332,25,True,2,0.7777777777777778,0,52
01b602bd-a1c3-4982-a407-2c608f227da7,monday,2021-04-26,2105,Černošice,182,25,4,609,59,15,21,13,1614,2105,Černošice,149338,23399,CZ020,Středočeský kraj,CZ,ČR,279.9019673492346,13,False,0,205.13697166545577,10,True,2,11.27633209417596,11,False,0,0.900990099009901,5,41
c729ee32-810f-4233-bbdd-0812879fd0b0,monday,2021-04-26,2106,Český Brod,20,3,0,41,2,0,1,2,159,2106,Český Brod,21537,3709,CZ020,Středočeský kraj,CZ,ČR,213.58592190184336,10,False,0,134.80722566729577,10,True,2,12.578616352201259,11,False,0,1.25,15,48
d8b0e390-508b-4ea3-a273-02630f2dd01c,monday,2021-04-26,2107,Dobříš,50,6,2,107,18,12,3,1,239,2107,Dobříš,23079,4340,CZ020,Středočeský kraj,CZ,ČR,415.9625633692968,13,False,0,276.49769585253455,13,True,2,20.920502092050206,20,True,2,1.1627906976744187,10,60
2c72ccb6-fed3-4601-b060-b086a24a2ecb,monday,2021-04-26,2108,Hořovice,94,8,3,177,8,0,5,5,375,2108,Hořovice,30131,6103,CZ020,Středočeský kraj,CZ,ČR,580.7971856227805,16,True,0,213.0099950843847,10,True,2,25.066666666666666,25,True,2,1.0804597701149425,10,65
55e67969-d013-412c-8430-f6bbc9e572dd,monday,2021-04-26,2109,Kladno,178,24,9,437,64,22,35,18,2768,2109,Kladno,125957,24239,CZ020,Středočeský kraj,CZ,ČR,309.62947672618435,13,False,0,235.15821609802384,10,True,2,6.430635838150289,3,False,0,0.9128205128205128,5,33
e6c3e2c9-34f4-4afa-9d9c-c7929e7b7ed4,monday,2021-04-26,2110,Kolín,88,6,2,239,36,19,15,9,555,2110,Kolín,83500,16849,CZ020,Středočeský kraj,CZ,ČR,258.68263473053895,13,False,0,142.44168793400203,10,True,2,15.855855855855856,15,False,0,0.8073394495412844,5,45
