code_region,name_region,incidence_65_7,incidence_7,population,population_65,testy_7,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score,date
CZ010,Praha,6,80,1324277,251166,0.0,10.873857961740633,2,False,0,4.379573668410533,0,True,2,0.0,0,False,0,1.2307692307692308,15,19,2020-07-12
CZ020,Středočeský kraj,7,62,1385141,255825,0.0,9.385326114814303,0,True,0,4.690706537672237,0,True,2,0.0,0,False,0,0.8985507246376812,5,7,2020-07-12
CZ031,Jihočeský kraj,0,5,644083,131832,0.0,0.9315569577212874,0,False,0,0.0,0,False,0,0.0,0,False,0,2.5,30,30,2020-07-12
CZ032,Plzeňský kraj,0,3,589899,119690,0.0,1.3561643603396514,0,False,0,0.0,0,False,0,0.0,0,False,0,0.5,0,0,2020-07-12
CZ041,Karlovarský kraj,0,0,294664,60178,0.0,0.0,0,False,0,0.0,0,False,0,,30,False,0,,30,60,2020-07-12
CZ042,Ústecký kraj,0,1,820965,161527,0.0,0.24361574488559196,0,False,0,0.0,0,False,0,0.0,0,False,0,1.0,10,10,2020-07-12
CZ051,Liberecký kraj,0,9,443690,89906,0.0,11.945277107890645,2,False,0,4.449091273107467,0,True,2,0.0,0,False,0,0.2571428571428571,0,4,2020-07-12
CZ052,Královéhradecký kraj,2,11,551647,119407,0.0,3.262956202064001,0,True,0,1.6749436800187594,0,True,2,0.0,0,False,0,1.375,15,17,2020-07-12
CZ053,Pardubický kraj,2,12,522662,106085,0.0,2.8699235835013837,0,True,0,2.8279210067398783,0,True,2,0.0,0,False,0,3.0,30,32,2020-07-12
CZ063,Kraj Vysočina,3,28,509813,104291,0.0,6.865262360904881,0,True,0,3.835422040252754,0,True,2,0.0,0,False,0,1.4736842105263157,20,22,2020-07-12
CZ064,Jihomoravský kraj,2,19,1191989,238620,0.0,3.1879488820786097,0,False,0,2.0953817785600535,0,True,2,0.0,0,False,0,0.95,5,7,2020-07-12
CZ071,Olomoucký kraj,1,15,632015,130935,0.0,4.746722783478241,0,False,0,4.582426394776034,0,True,2,0.0,0,False,0,1.875,25,27,2020-07-12
CZ072,Zlínský kraj,4,11,582555,121339,0.0,2.5748641759147204,0,True,0,4.120686671226894,0,True,2,0.0,0,False,0,1.5714285714285714,20,22,2020-07-12
CZ080,Moravskoslezský kraj,32,356,1200539,240829,0.0,80.63045015613821,7,False,0,28.235802166682586,4,True,2,0.0,0,False,0,0.7688984881209503,0,13,2020-07-12
