den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,code_cz,name_cz,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
pondělí,2021-06-21,2123,Sedlčany,10,2,0,25,15,9,0,0,286,2123,Sedlčany,22074,4717,CZ020,Středočeský kraj,CZ,ČR,45.3021654435082,4,True,0,42.3998304006784,4,True,2,3.4965034965034967,3,True,2,2.5,30,45
pondělí,2021-06-21,2124,Slaný,0,0,0,8,3,0,1,0,316,2124,Slaný,40526,7771,CZ020,Středočeský kraj,CZ,ČR,7.402655085624044,0,False,0,12.868356710848026,2,True,2,0.0,0,False,0,,30,34
pondělí,2021-06-21,2125,Vlašim,1,0,0,0,0,0,1,1,38,2125,Vlašim,25947,5665,CZ020,Středočeský kraj,CZ,ČR,7.70802019501291,0,False,0,0.0,0,False,0,2.631578947368421,0,True,2,1.0,10,12
pondělí,2021-06-21,2126,Votice,0,0,0,0,0,0,1,1,32,2126,Votice,12445,2654,CZ020,Středočeský kraj,CZ,ČR,24.106066693451186,2,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,2
pondělí,2021-06-21,3101,Blatná,1,0,0,0,0,0,0,0,47,3101,Blatná,13668,3093,CZ031,Jihočeský kraj,CZ,ČR,7.316359379572725,0,True,0,0.0,0,False,0,2.127659574468085,0,True,2,1.0,10,12
pondělí,2021-06-21,3102,České Budějovice,24,1,1,98,0,0,3,2,1120,3102,České Budějovice,162553,31763,CZ031,Jihočeský kraj,CZ,ČR,67.0550528135439,7,False,0,34.63148946887888,4,True,2,2.142857142857143,0,False,0,0.42105263157894735,0,13
pondělí,2021-06-21,3103,Český Krumlov,18,1,1,52,4,0,3,3,140,3103,Český Krumlov,41687,7954,CZ031,Jihočeský kraj,CZ,ČR,115.14380982080746,7,False,0,25.144581342720645,4,True,2,12.857142857142856,11,False,0,0.8181818181818182,5,29
pondělí,2021-06-21,3104,Dačice,3,1,1,5,2,3,0,0,72,3104,Dačice,18783,3961,CZ031,Jihočeský kraj,CZ,ČR,21.29585263269978,2,True,0,25.246149962130776,4,True,2,4.166666666666666,3,False,0,0.75,0,11
pondělí,2021-06-21,3105,Jindřichův Hradec,1,0,0,3,1,1,0,0,139,3105,Jindřichův Hradec,47113,10139,CZ031,Jihočeský kraj,CZ,ČR,6.3676692208095425,0,False,0,0.0,0,False,0,0.7194244604316548,0,False,0,1.0,10,10
pondělí,2021-06-21,3106,Kaplice,3,0,0,7,0,0,0,0,49,3106,Kaplice,19869,3447,CZ031,Jihočeský kraj,CZ,ČR,45.29669334138608,4,False,0,29.010733971569483,4,True,2,6.122448979591836,3,False,0,1.0,10,23
pondělí,2021-06-21,3107,Milevsko,0,0,0,4,3,2,0,0,76,3107,Milevsko,18235,4397,CZ031,Jihočeský kraj,CZ,ČR,5.483959418700302,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,3108,Písek,1,0,0,22,16,5,0,0,228,3108,Písek,53352,11354,CZ031,Jihočeský kraj,CZ,ČR,5.623031938821413,0,False,0,0.0,0,False,0,0.43859649122807015,0,False,0,0.0,0,0
pondělí,2021-06-21,3109,Prachatice,3,0,0,10,0,0,0,1,110,3109,Prachatice,33458,6497,CZ031,Jihočeský kraj,CZ,ČR,53.7987925159902,7,False,0,30.783438510081577,4,True,2,2.727272727272727,0,False,0,0.3333333333333333,0,13
pondělí,2021-06-21,3110,Soběslav,0,0,0,0,0,0,0,0,67,3110,Soběslav,21947,4860,CZ031,Jihočeský kraj,CZ,ČR,4.556431402925229,0,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
pondělí,2021-06-21,3111,Strakonice,6,1,0,0,0,0,0,0,136,3111,Strakonice,45223,9454,CZ031,Jihočeský kraj,CZ,ČR,15.478849258120867,2,True,0,10.577533319229955,2,True,2,4.411764705882353,3,True,2,1.0,10,21
pondělí,2021-06-21,3112,Tábor,2,0,0,9,0,0,0,0,315,3112,Tábor,80648,17257,CZ031,Jihočeský kraj,CZ,ČR,9.919650828290845,0,False,0,0.0,0,False,0,0.6349206349206349,0,False,0,1.0,10,10
pondělí,2021-06-21,3113,Trhové Sviny,1,0,0,3,0,0,0,0,160,3113,Trhové Sviny,19267,3657,CZ031,Jihočeský kraj,CZ,ČR,10.380443244926559,2,False,0,0.0,0,False,0,0.625,0,False,0,1.0,10,12
pondělí,2021-06-21,3114,Třeboň,2,0,0,8,0,0,0,0,84,3114,Třeboň,24796,5563,CZ031,Jihočeský kraj,CZ,ČR,32.26326826907566,4,False,0,0.0,0,False,0,2.380952380952381,0,False,0,0.5,0,4
pondělí,2021-06-21,3115,Týn nad Vltavou,1,0,0,5,1,0,0,0,44,3115,Týn nad Vltavou,14083,2594,CZ031,Jihočeský kraj,CZ,ČR,28.403039125186396,4,False,0,38.55050115651503,4,True,2,2.272727272727273,0,False,0,1.0,10,20
pondělí,2021-06-21,3116,Vimperk,1,0,0,0,0,0,0,0,45,3116,Vimperk,17520,3591,CZ031,Jihočeský kraj,CZ,ČR,11.415525114155251,2,False,0,0.0,0,False,0,2.2222222222222223,0,False,0,0.0,0,2
pondělí,2021-06-21,3117,Vodňany,1,0,0,1,0,0,0,0,23,3117,Vodňany,11881,2251,CZ031,Jihočeský kraj,CZ,ČR,8.416799932665601,0,True,0,0.0,0,False,0,4.3478260869565215,3,True,2,0.0,0,5
pondělí,2021-06-21,3201,Blovice,2,0,0,4,1,0,0,0,44,3201,Blovice,12185,2566,CZ032,Plzeňský kraj,CZ,ČR,16.413623307345098,2,False,0,0.0,0,False,0,4.545454545454546,3,True,2,1.0,10,17
pondělí,2021-06-21,3202,Domažlice,4,0,0,24,2,2,0,0,67,3202,Domažlice,40679,8358,CZ032,Plzeňský kraj,CZ,ČR,31.957521079672556,4,False,0,0.0,0,False,0,5.970149253731343,3,False,0,1.0,10,17
pondělí,2021-06-21,3203,Horažďovice,1,0,0,1,0,0,0,0,29,3203,Horažďovice,11535,2662,CZ032,Plzeňský kraj,CZ,ČR,17.338534893801473,2,False,0,0.0,0,False,0,3.4482758620689653,3,True,2,0.0,0,7
pondělí,2021-06-21,3204,Horšovský Týn,3,0,0,4,0,0,0,0,30,3204,Horšovský Týn,14825,2829,CZ032,Plzeňský kraj,CZ,ČR,20.236087689713322,2,True,0,0.0,0,False,0,10.0,7,True,2,1.5,20,31
pondělí,2021-06-21,3205,Klatovy,1,0,0,10,1,0,0,0,119,3205,Klatovy,50720,10750,CZ032,Plzeňský kraj,CZ,ČR,5.9148264984227135,0,False,0,0.0,0,False,0,0.8403361344537815,0,False,0,0.3333333333333333,0,0
pondělí,2021-06-21,3206,Kralovice,0,0,0,0,0,0,0,0,41,3206,Kralovice,22367,4828,CZ032,Plzeňský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,3207,Nepomuk,0,0,0,7,4,2,0,0,33,3207,Nepomuk,11583,2650,CZ032,Plzeňský kraj,CZ,ČR,8.6333419666753,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,3208,Nýřany,1,0,0,0,0,0,1,0,227,3208,Nýřany,57612,10436,CZ032,Plzeňský kraj,CZ,ČR,15.621745469693813,2,False,0,0.0,0,False,0,0.4405286343612335,0,False,0,0.25,0,2
pondělí,2021-06-21,3209,Plzeň,12,0,0,49,11,4,1,1,989,3209,Plzeň,194280,40386,CZ032,Plzeňský kraj,CZ,ČR,20.07411982705374,2,False,0,2.47610558114198,0,True,2,1.2133468149646107,0,False,0,0.8571428571428571,5,9
pondělí,2021-06-21,3210,Přeštice,1,0,0,0,0,0,0,0,117,3210,Přeštice,22885,4449,CZ032,Plzeňský kraj,CZ,ČR,8.739348918505572,0,False,0,0.0,0,False,0,0.8547008547008548,0,False,0,0.0,0,0
pondělí,2021-06-21,3211,Rokycany,2,0,0,6,0,0,0,0,162,3211,Rokycany,49349,10085,CZ032,Plzeňský kraj,CZ,ČR,10.131917566718677,2,False,0,9.91571641051066,0,True,2,1.2345679012345678,0,False,0,1.0,10,14
pondělí,2021-06-21,3212,Stod,1,0,0,6,2,0,0,0,74,3212,Stod,23393,4517,CZ032,Plzeňský kraj,CZ,ČR,21.373915273799856,2,False,0,0.0,0,False,0,1.3513513513513513,0,False,0,0.5,0,2
pondělí,2021-06-21,3213,Stříbro,0,0,0,4,1,1,0,0,59,3213,Stříbro,17190,3184,CZ032,Plzeňský kraj,CZ,ČR,5.817335660267598,0,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
pondělí,2021-06-21,3214,Sušice,13,0,0,30,0,0,0,0,97,3214,Sušice,24150,5546,CZ032,Plzeňský kraj,CZ,ČR,144.92753623188406,10,False,0,18.031013342949876,2,True,2,13.402061855670103,11,False,0,0.6842105263157895,0,25
pondělí,2021-06-21,3215,Tachov,5,1,1,14,0,0,1,0,138,3215,Tachov,37146,6444,CZ032,Plzeňský kraj,CZ,ČR,16.152479405588757,2,False,0,15.518311607697083,2,True,2,3.6231884057971016,3,True,2,1.25,15,26
pondělí,2021-06-21,4101,Aš,1,0,0,1,0,0,0,0,46,4101,Aš,17695,3278,CZ041,Karlovarský kraj,CZ,ČR,39.55919751342187,4,False,0,0.0,0,False,0,2.1739130434782608,0,False,0,0.3333333333333333,0,4
pondělí,2021-06-21,4102,Cheb,0,0,0,0,0,0,0,0,116,4102,Cheb,49955,9806,CZ041,Karlovarský kraj,CZ,ČR,2.0018016214593133,0,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
pondělí,2021-06-21,4103,Karlovy Vary,2,0,0,0,0,0,0,0,271,4103,Karlovy Vary,87182,19250,CZ041,Karlovarský kraj,CZ,ČR,3.4410772865958568,0,False,0,0.0,0,False,0,0.7380073800738007,0,True,2,0.6666666666666666,0,2
pondělí,2021-06-21,4104,Kraslice,2,0,0,3,0,0,0,0,46,4104,Kraslice,13184,2750,CZ041,Karlovarský kraj,CZ,ČR,30.339805825242717,4,True,0,36.36363636363636,4,True,2,4.3478260869565215,3,False,0,0.6666666666666666,0,13
pondělí,2021-06-21,4105,Mariánské Lázně,0,0,0,0,0,0,0,0,78,4105,Mariánské Lázně,23984,5419,CZ041,Karlovarský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,4106,Ostrov,1,0,0,6,3,2,0,0,120,4106,Ostrov,27636,5453,CZ041,Karlovarský kraj,CZ,ČR,3.618468664061369,0,False,0,0.0,0,False,0,0.8333333333333334,0,True,2,0.0,0,2
pondělí,2021-06-21,4107,Sokolov,0,0,0,12,9,3,0,0,172,4107,Sokolov,75028,14222,CZ041,Karlovarský kraj,CZ,ČR,2.6656714826464785,0,False,0,7.03135986499789,0,True,2,0.0,0,False,0,0.0,0,2
pondělí,2021-06-21,4201,Bílina,0,0,0,1,1,2,0,0,50,4201,Bílina,22600,3935,CZ042,Ústecký kraj,CZ,ČR,4.424778761061947,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,4202,Děčín,2,0,0,0,0,0,1,0,276,4202,Děčín,76842,16362,CZ042,Ústecký kraj,CZ,ČR,6.506858228572916,0,False,0,6.111722283339446,0,True,2,0.7246376811594203,0,False,0,1.0,10,12
pondělí,2021-06-21,4203,Chomutov,1,0,0,10,0,0,0,0,302,4203,Chomutov,81662,14681,CZ042,Ústecký kraj,CZ,ČR,4.898239083049644,0,False,0,6.8115251004699955,0,False,0,0.33112582781456956,0,False,0,1.0,10,10
pondělí,2021-06-21,4204,Kadaň,4,0,0,2,0,0,0,0,132,4204,Kadaň,43284,8078,CZ042,Ústecký kraj,CZ,ČR,27.72387025228722,4,False,0,74.27581084426838,7,True,2,3.0303030303030303,3,False,0,0.4444444444444444,0,16
pondělí,2021-06-21,4205,Litoměřice,1,0,0,12,4,0,2,0,267,4205,Litoměřice,59110,11658,CZ042,Ústecký kraj,CZ,ČR,5.075283369988157,0,False,0,0.0,0,False,0,0.37453183520599254,0,False,0,1.0,10,10
pondělí,2021-06-21,4206,Litvínov,0,0,0,0,0,0,0,0,101,4206,Litvínov,37035,7785,CZ042,Ústecký kraj,CZ,ČR,2.7001485081679495,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,4207,Louny,2,0,0,3,0,0,0,0,161,4207,Louny,43640,8545,CZ042,Ústecký kraj,CZ,ČR,4.582951420714941,0,False,0,0.0,0,False,0,1.2422360248447204,0,True,2,2.0,30,32
pondělí,2021-06-21,4208,Lovosice,0,0,0,10,4,1,0,0,80,4208,Lovosice,27750,5804,CZ042,Ústecký kraj,CZ,ČR,3.6036036036036037,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
pondělí,2021-06-21,4209,Most,4,0,0,13,0,0,1,0,212,4209,Most,74673,13629,CZ042,Ústecký kraj,CZ,ČR,13.391721237930712,2,False,0,0.0,0,False,0,1.8867924528301887,0,False,0,0.6666666666666666,0,2
pondělí,2021-06-21,4210,Podbořany,0,0,0,7,2,1,0,1,35,4210,Podbořany,15678,3106,CZ042,Ústecký kraj,CZ,ČR,6.378364587319811,0,False,0,32.19575016097875,4,True,2,0.0,0,False,0,0.0,0,6
pondělí,2021-06-21,4211,Roudnice nad Labem,0,0,0,0,0,0,0,0,589,4211,Roudnice nad Labem,32808,6650,CZ042,Ústecký kraj,CZ,ČR,9.1441111923921,0,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
pondělí,2021-06-21,4212,Rumburk,0,0,0,12,0,0,0,0,71,4212,Rumburk,32795,6681,CZ042,Ústecký kraj,CZ,ČR,36.590943741424,4,False,0,14.967819188744201,2,True,2,0.0,0,False,0,0.0,0,8
pondělí,2021-06-21,4213,Teplice,7,1,1,22,8,2,1,0,392,4213,Teplice,106472,21215,CZ042,Ústecký kraj,CZ,ČR,13.148996919377863,2,False,0,9.42729201037002,0,True,2,1.7857142857142856,0,True,2,1.75,25,31
pondělí,2021-06-21,4214,Ústí nad Labem,7,3,0,45,21,4,3,2,484,4214,Ústí nad Labem,119338,23971,CZ042,Ústecký kraj,CZ,ČR,16.759121151686806,2,False,0,29.20195235910058,4,True,2,1.4462809917355373,0,False,0,0.875,5,13
pondělí,2021-06-21,4215,Varnsdorf,1,0,0,10,2,0,0,0,49,4215,Varnsdorf,19905,4211,CZ042,Ústecký kraj,CZ,ČR,50.23863350916855,7,False,0,47.49465685110425,4,True,2,2.0408163265306123,0,False,0,0.25,0,13
pondělí,2021-06-21,4216,Žatec,0,0,0,2,0,0,0,0,79,4216,Žatec,27373,5216,CZ042,Ústecký kraj,CZ,ČR,3.6532349395389616,0,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
pondělí,2021-06-21,5101,Česká Lípa,3,1,0,9,0,0,0,0,276,5101,Česká Lípa,76998,14036,CZ051,Liberecký kraj,CZ,ČR,16.88355541702382,2,False,0,14.249073810202338,2,True,2,1.0869565217391304,0,False,0,0.2727272727272727,0,6
pondělí,2021-06-21,5102,Frýdlant,2,0,0,4,0,0,0,0,112,5102,Frýdlant,24479,4944,CZ051,Liberecký kraj,CZ,ČR,20.425670983291802,2,False,0,20.22653721682848,2,True,2,1.7857142857142856,0,False,0,1.0,10,16
pondělí,2021-06-21,5103,Jablonec nad Nisou,5,0,0,0,0,0,0,0,545,5103,Jablonec nad Nisou,56206,11517,CZ051,Liberecký kraj,CZ,ČR,26.687542255275236,4,False,0,0.0,0,False,0,0.9174311926605505,0,True,2,0.8333333333333334,5,11
pondělí,2021-06-21,5104,Jilemnice,0,0,0,0,0,0,0,0,65,5104,Jilemnice,22137,4768,CZ051,Liberecký kraj,CZ,ČR,4.517323937299544,0,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
pondělí,2021-06-21,5105,Liberec,29,0,0,51,0,0,0,0,883,5105,Liberec,145676,28910,CZ051,Liberecký kraj,CZ,ČR,50.797660561794665,7,False,0,0.0,0,False,0,3.2842582106455263,3,False,0,0.8787878787878788,5,15
pondělí,2021-06-21,5106,Nový Bor,1,0,0,0,0,0,0,0,93,5106,Nový Bor,26302,5736,CZ051,Liberecký kraj,CZ,ČR,3.8019922439358225,0,False,0,0.0,0,False,0,1.0752688172043012,0,True,2,1.0,10,12
pondělí,2021-06-21,5107,Semily,6,2,1,1,0,0,0,1,82,5107,Semily,25675,5599,CZ051,Liberecký kraj,CZ,ČR,38.948393378773126,4,False,0,35.72066440435792,4,True,2,7.317073170731707,7,True,2,1.5,20,39
pondělí,2021-06-21,5108,Tanvald,1,1,1,6,0,0,0,0,128,5108,Tanvald,20412,4465,CZ051,Liberecký kraj,CZ,ČR,39.19263178522438,4,False,0,67.18924972004478,7,True,2,0.78125,0,False,0,0.14285714285714285,0,13
