id,den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,code_cz,name_cz,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
e366b7d6-bde7-46e1-884f-fbba43c63c17,friday,2020-11-27,1000,nezařazení,2202,505,303,5295,1843,1305,482,31,16559,1000,Praha,1324277,251166,CZ010,Praha,CZ,ČR,356.64743856459035,13,False,0,428.8000764434676,13,True,2,13.297904462829882,11,False,0,0.8900565885206144,5,44
54e422d7-5b04-46ce-ad16-babd6b56de2a,friday,2020-11-27,2101,Benešov,186,35,13,337,115,69,26,1,705,2101,Benešov,61022,12125,CZ020,Středočeský kraj,CZ,ČR,570.2861263150995,16,False,0,536.0824742268042,16,True,2,26.382978723404253,30,True,2,1.0689655172413792,10,76
b44d02c7-962d-4667-9527-6902149186cd,friday,2020-11-27,2102,Beroun,112,19,11,323,75,49,9,7,718,2102,Beroun,64927,11392,CZ020,Středočeský kraj,CZ,ČR,409.69088360774407,13,False,0,386.23595505617976,13,True,2,15.598885793871867,15,False,0,0.7619047619047619,0,43
c33af01e-e8dc-41af-af97-d0e69a6de655,friday,2020-11-27,2103,Brandýs nad Labem-Stará Boleslav,214,26,16,514,103,60,27,1,1253,2103,Brandýs nad Labem-Stará Boleslav,113282,16416,CZ020,Středočeský kraj,CZ,ČR,414.01105206475876,13,False,0,383.77192982456137,13,True,2,17.07901037509976,15,False,0,0.8458498023715415,5,48
b053d6b3-a6f4-495c-9b68-f3fdb3cd4a93,friday,2020-11-27,2104,Čáslav,102,29,25,187,55,42,16,0,371,2104,Čáslav,25663,5212,CZ020,Středočeský kraj,CZ,ČR,888.4386081128473,16,False,0,978.5111281657713,20,True,2,27.49326145552561,30,False,0,0.796875,0,68
2996e2c8-51e3-4a69-944b-f097c8fa83a2,friday,2020-11-27,2105,Černošice,228,34,16,641,130,84,32,2,1728,2105,Černošice,149338,23399,CZ020,Středočeský kraj,CZ,ČR,338.15907538603705,13,False,0,324.80020513697167,13,True,2,13.194444444444445,11,False,0,0.8837209302325582,5,44
6673b800-f1d5-4754-b441-2b1e657ae3f3,friday,2020-11-27,2106,Český Brod,45,12,5,92,39,24,4,0,200,2106,Český Brod,21537,3709,CZ020,Středočeský kraj,CZ,ČR,380.740121651112,13,False,0,700.9975734699381,16,True,2,22.5,20,False,0,1.1538461538461537,10,61
816ddeef-9c40-44e9-a470-f2d2bb8449d4,friday,2020-11-27,2107,Dobříš,47,3,1,99,20,13,3,1,218,2107,Dobříš,23079,4340,CZ020,Středočeský kraj,CZ,ČR,498.2884873694701,16,False,0,207.37327188940094,10,True,2,21.55963302752294,20,False,0,0.7580645161290323,0,48
79605ccb-75a3-4ef0-b3e9-229cd186c131,friday,2020-11-27,2108,Hořovice,69,12,3,169,38,19,6,2,324,2108,Hořovice,30131,6103,CZ020,Středočeský kraj,CZ,ČR,504.4638412266437,16,False,0,393.2492216942488,13,True,2,21.296296296296298,20,False,0,0.8414634146341463,5,56
140fa16e-0934-4c2e-a6bb-f7dad7b900d2,friday,2020-11-27,2109,Kladno,412,87,48,688,194,121,49,0,2142,2109,Kladno,125957,24239,CZ020,Středočeský kraj,CZ,ČR,601.7926752780711,16,False,0,693.0979000783861,16,True,2,19.234360410831002,20,False,0,1.1226158038147138,10,64
e9a6f783-1a0e-4731-8dde-4ca9bb6c9264,friday,2020-11-27,2110,Kolín,193,26,15,361,112,79,13,0,833,2110,Kolín,83500,16849,CZ020,Středočeský kraj,CZ,ČR,485.02994011976045,16,False,0,397.64971214908894,13,True,2,23.169267707082835,25,True,2,0.9601990049751243,5,63
447371ef-38af-4223-884f-29edaa994519,friday,2020-11-27,2111,Kralupy nad Vltavou,107,30,17,214,80,52,10,0,341,2111,Kralupy nad Vltavou,32515,5889,CZ020,Středočeský kraj,CZ,ČR,747.3473781331693,16,False,0,1392.4265579894718,20,True,2,31.378299120234605,30,False,0,0.7430555555555556,0,68
c0275e52-3e0f-41da-9cb7-4cb5dcaad803,friday,2020-11-27,2112,Kutná Hora,198,85,69,352,137,94,19,2,661,2112,Kutná Hora,50165,10703,CZ020,Středočeský kraj,CZ,ČR,815.3094787202232,16,False,0,1130.5241521068858,20,True,2,29.954614220877456,30,True,2,1.0153846153846153,10,80
266aeb0a-437b-4c66-be6c-d79a609e8a4a,friday,2020-11-27,2113,Lysá nad Labem,45,4,1,104,29,19,4,0,244,2113,Lysá nad Labem,26907,3448,CZ020,Středočeský kraj,CZ,ČR,397.6660348608169,13,False,0,348.0278422273782,13,True,2,18.442622950819672,15,False,0,0.7377049180327869,0,43
c5cafd20-e0d7-4aaf-8de0-3e9cc608196f,friday,2020-11-27,2114,Mělník,137,34,26,316,97,65,9,2,504,2114,Mělník,44600,8655,CZ020,Středočeský kraj,CZ,ČR,686.0986547085203,16,False,0,1132.2934719815137,20,True,2,27.18253968253968,30,False,0,0.8838709677419355,5,73
e9cd5077-7499-46b3-b52e-8c1ffc88fdde,friday,2020-11-27,2115,Mladá Boleslav,261,27,13,564,148,97,36,7,1285,2115,Mladá Boleslav,112464,20603,CZ020,Středočeský kraj,CZ,ČR,473.92943519704085,13,False,0,354.3173324273164,13,True,2,20.311284046692606,20,False,0,0.9321428571428572,5,53
ae3e236d-03be-4f9b-959d-36aa9c9cc08b,friday,2020-11-27,2116,Mnichovo Hradiště,39,6,4,83,26,16,15,0,198,2116,Mnichovo Hradiště,17901,3388,CZ020,Středočeský kraj,CZ,ČR,452.48868778280547,13,False,0,383.70720188902004,13,True,2,19.696969696969695,20,True,2,0.975,5,55
a58c03db-9f6b-4acd-830f-eb4db0079def,friday,2020-11-27,2117,Neratovice,86,34,24,152,59,43,4,0,383,2117,Neratovice,32187,5907,CZ020,Středočeský kraj,CZ,ČR,515.7361667754062,16,False,0,744.8789571694599,16,True,2,22.45430809399478,20,True,2,1.011764705882353,10,66
0c9be97e-3c27-461f-b2d8-767b089f2f8a,friday,2020-11-27,2118,Nymburk,172,87,64,258,122,81,15,1,530,2118,Nymburk,40183,8167,CZ020,Středočeský kraj,CZ,ČR,644.5511783590076,16,True,0,1163.2178278437616,20,True,2,32.45283018867924,30,True,2,2.023529411764706,30,100
3ed00cc0-5495-4bda-b0f9-bfc8ae0093ce,friday,2020-11-27,2119,Poděbrady,97,24,18,197,84,58,34,3,343,2119,Poděbrady,31382,6883,CZ020,Středočeský kraj,CZ,ČR,710.5984322222931,16,False,0,1220.398082231585,20,True,2,28.279883381924197,30,False,0,0.8083333333333333,5,73
6ed31811-9980-4898-8ff7-8891d9074754,friday,2020-11-27,2120,Příbram,195,37,17,331,91,46,28,2,721,2120,Příbram,69951,14592,CZ020,Středočeský kraj,CZ,ČR,566.1105631084616,16,False,0,637.3355263157895,16,True,2,27.045769764216367,30,True,2,1.0263157894736843,10,76
38843934-623b-47df-b346-071ef1fe757e,friday,2020-11-27,2121,Rakovník,206,64,43,380,131,90,32,1,685,2121,Rakovník,55562,11623,CZ020,Středočeský kraj,CZ,ČR,691.1198300997085,16,True,0,877.5703346812354,16,True,2,30.072992700729927,30,True,2,1.1016042780748663,10,76
5aceea0a-efc3-48bb-8c5e-2e6194947974,friday,2020-11-27,2122,Říčany,126,23,17,307,75,52,11,1,836,2122,Říčany,71896,11376,CZ020,Středočeský kraj,CZ,ČR,385.27873595193057,13,False,0,492.26441631504923,16,True,2,15.07177033492823,15,False,0,0.9,5,51
a821bee9-493d-429e-9670-398a821fc559,friday,2020-11-27,2123,Sedlčany,59,14,8,133,44,24,4,2,174,2123,Sedlčany,22074,4717,CZ020,Středočeský kraj,CZ,ČR,706.7137809187279,16,False,0,890.3964384142463,16,True,2,33.90804597701149,30,False,0,0.6629213483146067,0,64
9325d200-3de4-4a33-b555-b401a09ae9e8,friday,2020-11-27,2124,Slaný,110,24,14,231,69,40,16,0,541,2124,Slaný,40526,7771,CZ020,Středočeský kraj,CZ,ČR,693.382026353452,16,False,0,875.0482563376656,16,True,2,20.33271719038817,20,False,0,0.6962025316455697,0,54
e2ca1244-5304-4655-871c-9c6b937c17f6,friday,2020-11-27,2125,Vlašim,102,26,15,196,80,56,18,1,335,2125,Vlašim,25947,5665,CZ020,Středočeský kraj,CZ,ČR,790.0720699888234,16,False,0,829.6557811120919,16,True,2,30.447761194029848,30,True,2,0.918918918918919,5,71
