code_region,name_region,incidence_65_7,incidence_7,population,population_65,testy_7,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score,date
CZ010,Praha,88,339,1324277,251166,0.0,59.428654277013045,7,False,0,79.62861215291879,7,True,2,0.0,0,False,0,0.8288508557457213,5,21,2020-04-08
CZ020,Středočeský kraj,41,203,1385141,255825,0.0,29.88865393487017,4,True,0,29.707808071924166,4,True,2,0.0,0,False,0,1.2011834319526626,15,25,2020-04-08
CZ031,Jihočeský kraj,3,27,644083,131832,0.0,12.731278422190929,2,False,0,12.895199951453364,2,True,2,0.0,0,False,0,0.6136363636363636,0,6,2020-04-08
CZ032,Plzeňský kraj,42,184,589899,119690,0.0,54.0770538685436,7,True,0,51.800484585178374,7,True,2,0.0,0,False,0,1.4603174603174602,20,36,2020-04-08
CZ041,Karlovarský kraj,18,65,294664,60178,0.0,38.68813292427986,4,True,0,56.49905280999701,7,True,2,0.0,0,False,0,1.0655737704918034,10,23,2020-04-08
CZ042,Ústecký kraj,25,127,820965,161527,0.0,33.618972794211686,4,True,0,52.0036897856086,7,True,2,0.0,0,False,0,0.6318407960199005,0,13,2020-04-08
CZ051,Liberecký kraj,14,39,443690,89906,0.0,30.426649237079943,4,True,0,41.154094276244074,4,True,2,0.0,0,False,0,0.42391304347826086,0,10,2020-04-08
CZ052,Královéhradecký kraj,2,50,551647,119407,0.0,20.846664624297784,2,True,0,6.6997747200750375,0,True,2,0.0,0,False,0,0.7246376811594203,0,4,2020-04-08
CZ053,Pardubický kraj,18,83,522662,106085,0.0,28.125251118313553,4,True,0,33.93505208087854,4,True,2,0.0,0,False,0,0.8736842105263158,5,15,2020-04-08
CZ063,Kraj Vysočina,4,27,509813,104291,0.0,21.77268920172691,2,False,0,23.971387751579716,2,True,2,0.0,0,False,0,0.5510204081632653,0,6,2020-04-08
CZ064,Jihomoravský kraj,25,100,1191989,238620,0.0,17.617612243066002,2,True,0,18.85843600704048,2,True,2,0.0,0,False,0,0.8547008547008547,5,11,2020-04-08
CZ071,Olomoucký kraj,21,165,632015,130935,0.0,54.11263973165194,7,True,0,40.478099820521635,4,True,2,0.0,0,False,0,0.9763313609467456,5,18,2020-04-08
CZ072,Zlínský kraj,14,69,582555,121339,0.0,23.34543519496013,2,True,0,22.251708024625223,2,True,2,0.0,0,False,0,0.7931034482758621,0,6,2020-04-08
CZ080,Moravskoslezský kraj,58,237,1200539,240829,0.0,30.236418808551825,4,True,0,35.709985093157385,4,True,2,0.0,0,False,0,2.1545454545454548,30,40,2020-04-08
