code_region,name_region,incidence_65_7,incidence_7,population,population_65,testy_7,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score,date
CZ010,Praha,104,419,1324277,251166,4600,66.45135421063719,7,False,0,94.35990540120876,7,True,2,9.108695652173914,7,False,0,0.9229074889867841,5,28,2022-06-03
CZ020,Středočeský kraj,42,223,1385141,255825,2067,37.18033037791821,4,False,0,44.17081989641357,4,True,2,10.788582486695693,7,False,0,0.8198529411764706,5,22,2022-06-03
CZ031,Jihočeský kraj,14,51,644083,131832,499,20.338993576914778,2,False,0,25.031858729291827,4,True,2,10.220440881763528,7,False,0,0.6375,0,15,2022-06-03
CZ032,Plzeňský kraj,18,68,589899,119690,582,20.85102704022214,2,False,0,29.242209040020054,4,True,2,11.683848797250858,11,True,2,1.2830188679245282,15,36,2022-06-03
CZ041,Karlovarský kraj,6,35,294664,60178,249,29.86452366084761,4,False,0,29.911263252351358,4,True,2,14.056224899598394,11,False,0,0.6481481481481481,0,21,2022-06-03
CZ042,Ústecký kraj,23,76,820965,161527,632,22.290840657031662,2,False,0,39.621858884273216,4,True,2,12.025316455696203,11,False,0,0.7378640776699029,0,19,2022-06-03
CZ051,Liberecký kraj,6,42,443690,89906,445,22.087493520250625,2,False,0,22.24545636553734,2,True,2,9.438202247191011,7,False,0,0.7777777777777778,0,13,2022-06-03
CZ052,Královéhradecký kraj,31,90,551647,119407,648,32.08573598696268,4,False,0,51.923254080581536,7,True,2,13.88888888888889,11,True,2,1.2162162162162162,15,41,2022-06-03
CZ053,Pardubický kraj,18,72,522662,106085,565,30.612518224014753,4,False,0,39.5908940943583,4,True,2,12.743362831858407,11,False,0,0.8470588235294118,5,26,2022-06-03
CZ063,Kraj Vysočina,16,65,509813,104291,505,28.637951562631788,4,False,0,35.477653872337974,4,True,2,12.871287128712872,11,False,0,0.8333333333333334,5,26,2022-06-03
CZ064,Jihomoravský kraj,47,183,1191989,238620,1178,31.8794888207861,4,False,0,39.39317743692901,4,True,2,15.534804753820033,15,True,2,0.9631578947368421,5,32,2022-06-03
CZ071,Olomoucký kraj,28,100,632015,130935,530,33.85995585547811,4,False,0,44.296788482835,4,True,2,18.867924528301888,15,True,2,0.9090909090909091,5,32,2022-06-03
CZ072,Zlínský kraj,34,96,582555,121339,421,32.61494622825313,4,False,0,49.44824005472272,4,True,2,22.802850356294538,20,True,2,1.032258064516129,10,42,2022-06-03
CZ080,Moravskoslezský kraj,48,154,1200539,240829,916,25.98832690982967,4,False,0,37.37091463237401,4,True,2,16.812227074235807,15,True,2,1.0198675496688743,10,37,2022-06-03
