den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
pátek,2020-11-13,2124,Slaný,172,45,16,408,83,30,28,22,814,2124,Slaný,40526,7771,CZ020,Středočeský kraj,1102.9956077579825,20,False,0,1132.4153905546261,20,True,2,21.13022113022113,20,False,0,0.6370370370370371,0,62
pátek,2020-11-13,2125,Vlašim,155,29,7,389,101,54,41,31,490,2125,Vlašim,25947,5665,CZ020,Středočeský kraj,1892.3189578756696,20,False,0,2206.5313327449253,20,True,2,31.63265306122449,30,False,0,0.5400696864111498,0,72
pátek,2020-11-13,2126,Votice,86,7,4,228,36,20,6,4,286,2126,Votice,12445,2654,CZ020,Středočeský kraj,2611.4905584572116,20,False,0,1544.837980406933,20,True,2,30.069930069930066,30,False,0,0.5375,0,72
pátek,2020-11-13,3101,Blatná,130,24,10,229,44,20,12,6,396,3101,Blatná,13668,3093,CZ031,Jihočeský kraj,1631.5481416447176,20,False,0,1422.5670869705787,20,True,2,32.82828282828283,30,False,0,1.1607142857142858,10,82
pátek,2020-11-13,3102,České Budějovice,694,159,84,2604,456,218,95,64,2628,3102,České Budějovice,162553,31763,CZ031,Jihočeský kraj,1269.1245316912023,20,False,0,1230.992034757422,20,True,2,26.40791476407915,30,False,0,0.5285605483625285,0,72
pátek,2020-11-13,3103,Český Krumlov,155,25,11,454,81,42,47,23,600,3103,Český Krumlov,41687,7954,CZ031,Jihočeský kraj,1115.4556576390721,20,False,0,1169.2230324365098,20,True,2,25.833333333333336,25,False,0,0.5290102389078498,0,67
pátek,2020-11-13,3104,Dačice,155,21,8,327,46,21,23,14,413,3104,Dačice,18783,3961,CZ031,Jihočeský kraj,1953.8944790502048,20,False,0,1161.3228982580156,20,True,2,37.530266343825666,30,False,0,0.7380952380952381,0,72
pátek,2020-11-13,3105,Jindřichův Hradec,266,43,15,728,140,68,51,29,929,3105,Jindřichův Hradec,47113,10139,CZ031,Jihočeský kraj,1642.8586589688618,20,False,0,1341.3551632310878,20,True,2,28.632938643702904,30,False,0,0.5155038759689923,0,72
pátek,2020-11-13,3106,Kaplice,89,16,9,204,43,19,21,9,251,3106,Kaplice,19869,3447,CZ031,Jihočeský kraj,1026.7250490714177,20,False,0,1334.4937626921962,20,True,2,35.45816733067729,30,True,2,0.7739130434782608,0,74
pátek,2020-11-13,3107,Milevsko,144,25,12,372,65,27,22,12,440,3107,Milevsko,18235,4397,CZ031,Jihočeský kraj,2166.163970386619,20,False,0,1637.4801000682282,20,True,2,32.72727272727273,30,False,0,0.6792452830188679,0,72
