id,den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,code_cz,name_cz,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
02ed0653-1c6c-4f5e-9bd4-351b85e72eca,wednesday,2020-12-16,1000,nezařazení,3807,588,302,5841,901,465,471,291,21223,1000,Praha,1324277,251166,CZ010,Praha,CZ,ČR,500.95259526519,16,True,0,423.624216653528,13,True,2,17.938086038731566,15,True,2,1.2677322677322678,15,63
f0012bc0-2dd3-4778-9109-0aebd8f9551a,wednesday,2020-12-16,2101,Benešov,278,47,21,401,80,35,36,27,889,2101,Benešov,61022,12125,CZ020,Středočeský kraj,CZ,ČR,802.9890859034448,16,True,0,767.0103092783505,16,True,2,31.2710911136108,30,True,2,1.1982758620689655,10,76
586d0222-9b70-4397-a9fc-d912ea3a405d,wednesday,2020-12-16,2102,Beroun,178,19,7,306,30,14,11,6,818,2102,Beroun,64927,11392,CZ020,Středočeský kraj,CZ,ČR,485.16025690390745,16,True,0,280.8988764044944,13,True,2,21.76039119804401,20,True,2,1.2714285714285714,15,68
20541573-7ff4-4972-a838-4c555927ed29,wednesday,2020-12-16,2103,Brandýs nad Labem-Stará Boleslav,378,45,24,610,72,35,24,15,1842,2103,Brandýs nad Labem-Stará Boleslav,113282,16416,CZ020,Středočeský kraj,CZ,ČR,560.5480129235007,16,True,0,475.14619883040933,13,True,2,20.521172638436482,20,True,2,1.2038216560509554,15,68
f79b842b-4cd6-401b-bcae-0aa67644244c,wednesday,2020-12-16,2104,Čáslav,131,19,8,210,38,21,9,7,463,2104,Čáslav,25663,5212,CZ020,Středočeský kraj,CZ,ČR,997.545103846004,20,True,0,901.7651573292403,16,True,2,28.293736501079913,30,False,0,0.9632352941176471,5,73
2b4f2b2a-612b-4db5-a052-14337473a5ed,wednesday,2020-12-16,2105,Černošice,481,50,20,884,88,37,33,21,2618,2105,Černošice,149338,23399,CZ020,Středočeský kraj,CZ,ČR,568.5090198074167,16,True,0,393.17919569212364,13,True,2,18.372803666921314,15,True,2,1.1534772182254196,10,58
31367f4d-dc71-409f-a8da-75133cdf34e1,wednesday,2020-12-16,2106,Český Brod,71,17,15,103,24,20,6,7,277,2106,Český Brod,21537,3709,CZ020,Středočeský kraj,CZ,ČR,617.5419046292427,16,True,0,970.6120248045295,20,True,2,25.63176895306859,25,False,0,1.2033898305084745,15,78
d0cf0b4e-afcb-4c1e-a949-9dcbb2772631,wednesday,2020-12-16,2107,Dobříš,86,12,3,143,30,16,6,4,317,2107,Dobříš,23079,4340,CZ020,Středočeský kraj,CZ,ČR,615.2779583170848,16,True,0,529.9539170506912,16,True,2,27.129337539432175,30,True,2,1.4098360655737705,20,86
31341e79-44e2-4d4b-9e2b-4949ccf5e585,wednesday,2020-12-16,2108,Hořovice,114,17,8,198,29,12,6,7,422,2108,Hořovice,30131,6103,CZ020,Středočeský kraj,CZ,ČR,720.1885101722478,16,True,0,426.0199901687694,13,True,2,27.014218009478675,30,False,0,0.991304347826087,5,66
5165553b-a031-46f3-acdc-b1db0e1133e3,wednesday,2020-12-16,2109,Kladno,500,98,49,745,152,73,39,36,2067,2109,Kladno,125957,24239,CZ020,Středočeský kraj,CZ,ČR,724.8505442333495,16,True,0,734.3537274640044,16,True,2,24.189646831156264,25,True,2,1.1682242990654206,10,71
212e0160-329c-4377-a26f-54e8a29e6c22,wednesday,2020-12-16,2110,Kolín,267,41,18,425,77,36,28,26,1157,2110,Kolín,83500,16849,CZ020,Středočeský kraj,CZ,ČR,644.311377245509,16,True,0,546.0264704136744,16,True,2,23.076923076923077,25,False,0,0.996268656716418,5,64
7b0cba0d-4f0f-4c76-a571-2481561d09d8,wednesday,2020-12-16,2111,Kralupy nad Vltavou,146,27,15,198,38,27,5,9,566,2111,Kralupy nad Vltavou,32515,5889,CZ020,Středočeský kraj,CZ,ČR,741.1963709057359,16,True,0,849.0405841399219,16,True,2,25.795053003533567,25,False,0,1.2586206896551724,15,74
5919dd2a-f225-4656-9d88-fc8faa1b2587,wednesday,2020-12-16,2112,Kutná Hora,201,51,16,312,83,33,20,20,703,2112,Kutná Hora,50165,10703,CZ020,Středočeský kraj,CZ,ČR,787.4015748031496,16,False,0,775.4835092964589,16,True,2,28.591749644381224,30,True,2,0.9436619718309859,5,71
930a1db4-910a-4cfb-acfd-da5dc83ed018,wednesday,2020-12-16,2113,Lysá nad Labem,96,13,3,133,17,4,2,5,413,2113,Lysá nad Labem,26907,3448,CZ020,Středočeský kraj,CZ,ČR,564.9087598022819,16,True,0,464.0371229698376,13,True,2,23.24455205811138,25,True,2,1.3333333333333333,15,73
046f151f-5207-4c61-a09c-87d428107fa3,wednesday,2020-12-16,2114,Mělník,208,59,28,322,76,38,17,21,666,2114,Mělník,44600,8655,CZ020,Středočeský kraj,CZ,ČR,822.8699551569506,16,True,0,1120.739456961294,20,True,2,31.23123123123123,30,False,0,1.1954022988505748,10,78
bd787340-e0e0-4761-82ec-5fde49d1be86,wednesday,2020-12-16,2115,Mladá Boleslav,426,47,15,656,75,28,21,19,1968,2115,Mladá Boleslav,112464,20603,CZ020,Středočeský kraj,CZ,ČR,628.6456110399772,16,True,0,388.2929670436344,13,True,2,21.646341463414632,20,True,2,1.2456140350877194,15,68
d304f043-b448-413e-be1b-1af2966b8ebe,wednesday,2020-12-16,2116,Mnichovo Hradiště,113,7,2,155,10,4,4,3,399,2116,Mnichovo Hradiště,17901,3388,CZ020,Středočeský kraj,CZ,ČR,1044.6343779677113,20,True,0,442.7390791027155,13,True,2,28.32080200501253,30,True,2,1.202127659574468,15,82
