code_region,name_region,incidence_65_7,incidence_7,population,population_65,testy_7,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score,date
CZ010,Praha,787,6392,1324277,251166,31079,769.4764765981739,16,True,0,546.6504224297875,16,True,2,20.566942308311077,20,True,2,1.4448462929475587,20,76,2020-12-23
CZ020,Středočeský kraj,1018,7570,1385141,255825,26700,917.0185562336253,16,True,0,711.4238248802892,16,True,2,28.35205992509363,30,True,2,1.3283032110896649,15,81,2020-12-23
CZ031,Jihočeský kraj,498,2535,644083,131832,8147,667.7710791932095,16,True,0,603.7987741974634,16,True,2,31.11574812814533,30,True,2,1.3505594033031434,15,81,2020-12-23
CZ032,Plzeňský kraj,559,2937,589899,119690,9132,815.5633421992578,16,True,0,749.436043111371,16,True,2,32.16162943495401,30,True,2,1.3176312247644684,15,81,2020-12-23
CZ041,Karlovarský kraj,241,1182,294664,60178,3024,659.7344772350881,16,True,0,677.9886337199641,16,True,2,39.08730158730159,30,True,2,1.2061224489795919,15,81,2020-12-23
CZ042,Ústecký kraj,644,3690,820965,161527,10800,794.4309440719154,16,True,0,698.3352628353155,16,True,2,34.166666666666664,30,True,2,1.1941747572815533,10,76,2020-12-23
CZ051,Liberecký kraj,438,2749,443690,89906,8525,1081.1602695575739,20,True,0,899.8287099859854,16,True,2,32.246334310850436,30,True,2,1.2355056179775281,15,85,2020-12-23
CZ052,Královéhradecký kraj,583,3582,551647,119407,9459,1053.7535779221132,20,True,0,784.7111140887887,16,True,2,37.86869647954329,30,True,2,1.5190839694656488,20,90,2020-12-23
CZ053,Pardubický kraj,401,2853,522662,106085,8653,967.5469041177663,20,True,0,638.1675071876326,16,True,2,32.97122385299896,30,True,2,1.2787987449574183,15,85,2020-12-23
CZ063,Kraj Vysočina,416,2749,509813,104291,6752,874.8305751324506,16,True,0,695.1702447958118,16,True,2,40.713862559241704,30,True,2,1.3724413379930105,15,81,2020-12-23
CZ064,Jihomoravský kraj,805,5806,1191989,238620,17833,783.4803844666352,16,True,0,599.2791886681753,16,True,2,32.557617899399986,30,True,2,1.466531952513261,20,86,2020-12-23
CZ071,Olomoucký kraj,589,3354,632015,130935,9238,904.56713843817,16,True,0,716.3859930499866,16,True,2,36.306559861441876,30,True,2,1.3183962264150944,15,81,2020-12-23
CZ072,Zlínský kraj,590,3723,582555,121339,10309,1129.507085167924,20,True,0,904.0786556671804,16,True,2,36.114075080027156,30,True,2,1.234825870646766,15,85,2020-12-23
CZ080,Moravskoslezský kraj,1356,8739,1200539,240829,25182,1198.7948746354762,20,True,0,964.1695975152494,20,True,2,34.70335954253038,30,True,2,1.3555141926477432,15,89,2020-12-23
