code_region,name_region,incidence_65_7,incidence_7,population,population_65,testy_7,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score,date
CZ010,Praha,1109,5163,1324277,251166,20023,922.9186945027362,16,False,0,990.5799351823097,20,True,2,25.78534685112121,25,False,0,0.7580384671854353,0,63,2022-04-15
CZ020,Středočeský kraj,689,3701,1385141,255825,12882,672.6391031671144,16,False,0,632.8544903742793,16,True,2,28.73001086787766,30,False,0,0.6725422496819916,0,64,2022-04-15
CZ031,Jihočeský kraj,322,1375,644083,131832,3898,554.276389844166,16,False,0,584.8352448570909,16,True,2,35.27449974345818,30,False,0,0.6204873646209387,0,64,2022-04-15
CZ032,Plzeňský kraj,255,1109,589899,119690,4244,518.5633472848742,16,False,0,559.7794301946695,16,True,2,26.131008482563615,30,False,0,0.5806282722513089,0,64,2022-04-15
CZ041,Karlovarský kraj,107,476,294664,60178,1678,376.3608720440909,13,False,0,375.5525275017448,13,True,2,28.36710369487485,30,False,0,0.7104477611940299,0,58,2022-04-15
CZ042,Ústecký kraj,362,1535,820965,161527,5299,488.936799985383,16,False,0,514.465073950485,16,True,2,28.96772976033214,30,False,0,0.6278118609406953,0,64,2022-04-15
CZ051,Liberecký kraj,132,586,443690,89906,2662,384.2773107349726,13,False,0,427.1127622183169,13,True,2,22.01352366641623,20,False,0,0.5395948434622467,0,48,2022-04-15
CZ052,Královéhradecký kraj,312,1199,551647,119407,3737,554.1587283172028,16,False,0,618.0542179269222,16,True,2,32.084559807332084,30,False,0,0.6460129310344828,0,64,2022-04-15
CZ053,Pardubický kraj,262,1113,522662,106085,3411,547.0074350153636,16,False,0,542.0181929584767,16,True,2,32.629727352682494,30,False,0,0.6221352711011738,0,64,2022-04-15
CZ063,Kraj Vysočina,222,949,509813,104291,2914,514.6985267146973,16,False,0,519.6996864542482,16,True,2,32.566918325326014,30,False,0,0.5916458852867831,0,64,2022-04-15
CZ064,Jihomoravský kraj,533,2686,1191989,238620,9176,603.2773792375601,16,False,0,563.2386220769424,16,True,2,29.27201394943331,30,False,0,0.6164792288271747,0,64,2022-04-15
CZ071,Olomoucký kraj,282,1302,632015,130935,4303,534.3227613268673,16,False,0,504.83064115782645,16,True,2,30.257959563095515,30,False,0,0.6357421875,0,64,2022-04-15
CZ072,Zlínský kraj,239,1166,582555,121339,3466,514.1145471243058,16,False,0,499.42722455269944,16,True,2,33.64108482400462,30,False,0,0.6550561797752809,0,64,2022-04-15
CZ080,Moravskoslezský kraj,437,1959,1200539,240829,6099,444.8835064916675,13,False,0,457.5860880541795,13,True,2,32.120019675356616,30,False,0,0.5990825688073395,0,58,2022-04-15
