id,den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,code_cz,name_cz,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
f5fd449a-d719-4b67-8dd5-aac8b1c7bdc5,friday,2020-07-10,1000,nezařazení,73,4,1,195,18,8,6,6,2982,1000,Praha,1324277,251166,CZ010,Praha,CZ,ČR,11.100396669276895,2,False,0,3.9814306076459394,0,True,2,2.448021462105969,0,True,2,1.1774193548387097,10,16
8968f049-7d57-4bb0-b28d-4210d32ff983,friday,2020-07-10,2101,Benešov,2,0,0,2,0,0,0,0,68,2101,Benešov,61022,12125,CZ020,Středočeský kraj,CZ,ČR,3.2775064730752845,0,False,0,0.0,0,False,0,2.941176470588235,0,True,2,0.0,0,2
d6c8ba09-a74a-4cf1-bd59-044fb54d45ee,friday,2020-07-10,2102,Beroun,1,0,0,1,0,0,0,0,77,2102,Beroun,64927,11392,CZ020,Středočeský kraj,CZ,ČR,3.0803825835168728,0,False,0,0.0,0,False,0,1.2987012987012987,0,True,2,0.5,0,2
a01c2314-d7d2-4e18-911b-74fa0efb3999,friday,2020-07-10,2103,Brandýs nad Labem-Stará Boleslav,8,0,0,13,0,0,0,0,193,2103,Brandýs nad Labem-Stará Boleslav,113282,16416,CZ020,Středočeský kraj,CZ,ČR,12.358538867604738,2,True,0,0.0,0,False,0,4.145077720207254,3,True,2,1.1428571428571428,10,17
0041a382-8de4-45f2-a123-0f47998b9dd3,friday,2020-07-10,2104,Čáslav,4,0,0,4,0,0,0,0,54,2104,Čáslav,25663,5212,CZ020,Středočeský kraj,CZ,ČR,15.586642247593813,2,True,0,0.0,0,False,0,7.4074074074074066,7,True,2,4.0,30,41
ac8af439-918e-43df-a497-121400c7eac2,friday,2020-07-10,2105,Černošice,9,1,0,18,2,0,0,0,275,2105,Černošice,149338,23399,CZ020,Středočeský kraj,CZ,ČR,11.383572834777484,2,False,0,4.273686909696996,0,True,2,3.272727272727273,3,True,2,0.9,5,14
be38798e-4c77-4c50-92c0-e0d166be9989,friday,2020-07-10,2106,Český Brod,0,0,0,1,0,0,0,0,24,2106,Český Brod,21537,3709,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
b5fc3eef-3726-49d7-8d31-6c2ea984e4a9,friday,2020-07-10,2107,Dobříš,0,0,0,1,0,0,0,0,22,2107,Dobříš,23079,4340,CZ020,Středočeský kraj,CZ,ČR,4.332943368430175,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
aea0d907-a873-4cca-97d1-6373d49bf7fc,friday,2020-07-10,2108,Hořovice,0,0,0,1,0,0,0,0,32,2108,Hořovice,30131,6103,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
33d4801a-1c51-4cb4-af1a-bd8b695df42a,friday,2020-07-10,2109,Kladno,1,0,0,2,0,0,0,0,149,2109,Kladno,125957,24239,CZ020,Středočeský kraj,CZ,ČR,1.587843470390689,0,True,0,0.0,0,False,0,0.6711409395973155,0,True,2,1.0,10,12
ee932472-ca89-4b11-ac9a-e6f3b97507a6,friday,2020-07-10,2110,Kolín,10,0,0,22,4,3,0,0,112,2110,Kolín,83500,16849,CZ020,Středočeský kraj,CZ,ČR,21.556886227544908,2,True,0,5.935070330583418,0,True,2,8.928571428571429,7,False,0,1.0,10,21
e359fcab-fd62-4d71-b678-86ef7c94eb6d,friday,2020-07-10,2111,Kralupy nad Vltavou,0,0,0,1,0,0,0,0,28,2111,Kralupy nad Vltavou,32515,5889,CZ020,Středočeský kraj,CZ,ČR,3.075503613716746,0,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
a2530342-6172-4760-95f5-6a0d94e6cd57,friday,2020-07-10,2112,Kutná Hora,36,4,0,44,4,0,0,0,197,2112,Kutná Hora,50165,10703,CZ020,Středočeský kraj,CZ,ČR,83.72371175122097,7,True,0,37.37269924320284,4,True,2,18.274111675126903,15,True,2,2.0,30,60
d376fa8a-f95f-4d63-a5cb-535972eaa9b5,friday,2020-07-10,2113,Lysá nad Labem,1,0,0,1,0,0,0,0,49,2113,Lysá nad Labem,26907,3448,CZ020,Středočeský kraj,CZ,ČR,3.7165049986992233,0,True,0,0.0,0,False,0,2.0408163265306123,0,True,2,1.0,10,12
6690bd18-3e30-4030-8165-a80a04fa4799,friday,2020-07-10,2114,Mělník,0,0,0,1,0,0,0,0,58,2114,Mělník,44600,8655,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
18e5a809-73ce-4023-a226-6ed7d59b64ae,friday,2020-07-10,2115,Mladá Boleslav,3,0,0,24,2,0,0,0,70,2115,Mladá Boleslav,112464,20603,CZ020,Středočeský kraj,CZ,ČR,2.667520273154076,0,True,0,0.0,0,False,0,4.285714285714286,3,True,2,0.0,0,5
e29c3e03-b68c-4c4c-841b-651df8a12d10,friday,2020-07-10,2116,Mnichovo Hradiště,0,0,0,0,0,0,0,0,12,2116,Mnichovo Hradiště,17901,3388,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
6648ff6b-3fd2-479e-bc62-7811f85a767e,friday,2020-07-10,2117,Neratovice,0,0,0,0,0,0,0,0,50,2117,Neratovice,32187,5907,CZ020,Středočeský kraj,CZ,ČR,3.1068443781650976,0,False,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
ae1ecad0-4f10-4c68-a94d-5408a760e0e7,friday,2020-07-10,2118,Nymburk,0,0,0,0,0,0,1,1,54,2118,Nymburk,40183,8167,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,0.0,0,False,0,,30,30
3053f67e-f336-44aa-ac85-6d862df9f524,friday,2020-07-10,2119,Poděbrady,5,1,1,8,1,1,3,3,72,2119,Poděbrady,31382,6883,CZ020,Středočeský kraj,CZ,ČR,22.30578038365942,2,True,0,14.52854859799506,2,True,2,6.944444444444445,3,False,0,1.6666666666666667,25,34
