den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,code_cz,name_cz,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
pátek,2020-03-13,1000,Praha,45,5,1,56,6,1,0,0,52,1000,Praha,1324277,251166,CZ010,Praha,CZ,ČR,4.2287225406769124,0,True,0,2.3888583645875636,0,True,2,86.53846153846155,30,False,0,3.4615384615384617,30,62
pátek,2020-03-13,2101,Benešov,0,0,0,0,0,0,0,0,0,2101,Benešov,61022,12125,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,,30,False,0,,30,60
pátek,2020-03-13,2102,Beroun,0,0,0,0,0,0,0,0,0,2102,Beroun,64927,11392,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,,30,False,0,,30,60
pátek,2020-03-13,2103,Brandýs n.L.- St.Boleslav,0,0,0,0,0,0,0,0,0,2103,Brandýs nad Labem-Stará Boleslav,113282,16416,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,,30,False,0,,30,60
pátek,2020-03-13,2104,Čáslav,0,0,0,0,0,0,0,0,0,2104,Čáslav,25663,5212,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,,30,False,0,,30,60
pátek,2020-03-13,2105,Černošice,0,0,0,0,0,0,0,1,0,2105,Černošice,149338,23399,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,,30,False,0,,30,60
pátek,2020-03-13,2106,Český Brod,0,0,0,0,0,0,0,0,0,2106,Český Brod,21537,3709,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,,30,False,0,,30,60
pátek,2020-03-13,2107,Dobříš,0,0,0,0,0,0,0,0,0,2107,Dobříš,23079,4340,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,,30,False,0,,30,60
pátek,2020-03-13,2108,Hořovice,0,0,0,0,0,0,0,0,0,2108,Hořovice,30131,6103,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,,30,False,0,,30,60
pátek,2020-03-13,2109,Kladno,2,0,0,2,0,0,0,0,0,2109,Kladno,125957,24239,CZ020,Středočeský kraj,CZ,ČR,1.587843470390689,0,True,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
pátek,2020-03-13,2110,Kolín,0,0,0,0,0,0,0,0,0,2110,Kolín,83500,16849,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,,30,False,0,,30,60
pátek,2020-03-13,2111,Kralupy nad Vltavou,3,1,0,3,1,0,0,0,0,2111,Kralupy nad Vltavou,32515,5889,CZ020,Středočeský kraj,CZ,ČR,9.226510841150239,0,True,0,16.98081168279844,2,True,2,0.0,0,False,0,3.0,30,34
pátek,2020-03-13,2112,Kutná Hora,1,0,0,1,0,0,0,0,0,2112,Kutná Hora,50165,10703,CZ020,Středočeský kraj,CZ,ČR,1.9934217083624042,0,True,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
pátek,2020-03-13,2113,Lysá nad Labem,0,0,0,0,0,0,0,0,0,2113,Lysá nad Labem,26907,3448,CZ020,Středočeský kraj,CZ,ČR,0.0,0,False,0,0.0,0,False,0,,30,False,0,,30,60
pátek,2020-03-13,2114,Mělník,1,0,0,1,0,0,0,0,0,2114,Mělník,44600,8655,CZ020,Středočeský kraj,CZ,ČR,2.242152466367713,0,True,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
pátek,2020-03-13,2115,Mladá Boleslav,1,0,0,1,0,0,0,0,0,2115,Mladá Boleslav,112464,20603,CZ020,Středočeský kraj,CZ,ČR,0.8891734243846919,0,True,0,0.0,0,False,0,0.0,0,False,0,0.0,0,0
