code_region,name_region,incidence_65_7,incidence_7,population,population_65,testy_7,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score,date
CZ010,Praha,399,4391,1324277,251166,60543,490.6828405235461,16,True,0,224.1545432104664,10,True,2,7.252696430636077,7,True,2,1.571581961345741,20,57,2021-10-27
CZ020,Středočeský kraj,240,3275,1385141,255825,42337,357.00336644428256,13,True,0,137.9849506498583,10,True,2,7.735550464133027,7,True,2,1.4752252252252251,20,54,2021-10-27
CZ031,Jihočeský kraj,209,2394,644083,131832,15167,569.3365606606602,16,True,0,225.2867285636264,10,True,2,15.784268477615877,15,True,2,1.4199288256227758,20,65,2021-10-27
CZ032,Plzeňský kraj,130,1710,589899,119690,15603,443.63526637610846,13,True,0,157.9079288161083,10,True,2,10.959430878677177,7,True,2,1.4690721649484537,20,54,2021-10-27
CZ041,Karlovarský kraj,24,247,294664,60178,3893,140.8383786278609,10,True,0,66.46947389411413,7,True,2,6.344721294631389,3,False,0,1.2797927461139897,15,37,2021-10-27
CZ042,Ústecký kraj,101,1071,820965,161527,13259,199.0340635715286,10,True,0,87.9109993994812,7,True,2,8.077532242250546,7,True,2,1.5913818722139672,20,48,2021-10-27
CZ051,Liberecký kraj,39,606,443690,89906,9331,186.39139940048233,10,True,0,65.62409627833514,7,True,2,6.494480763047905,3,True,2,1.7264957264957266,25,49,2021-10-27
CZ052,Královéhradecký kraj,53,583,551647,119407,9780,144.4764496136116,10,True,0,61.9729161606941,7,True,2,5.961145194274028,3,True,2,1.7248520710059172,25,49,2021-10-27
CZ053,Pardubický kraj,118,1056,522662,106085,11116,308.80377758474884,13,True,0,164.9620587264929,10,True,2,9.499820079165168,7,True,2,1.5042735042735043,20,54,2021-10-27
CZ063,Kraj Vysočina,76,1101,509813,104291,9949,318.7443238991552,13,True,0,103.55639508682437,7,True,2,11.066438838074179,11,True,2,1.5956521739130434,20,55,2021-10-27
CZ064,Jihomoravský kraj,401,4108,1191989,238620,31919,494.2998635054518,16,True,0,248.93135529293437,13,True,2,12.870077383376671,11,True,2,1.6638315107330903,25,69,2021-10-27
CZ071,Olomoucký kraj,186,2663,632015,130935,14725,619.9219955222582,16,True,0,246.68728758544316,13,True,2,18.084889643463498,15,True,2,1.5464576074332173,20,68,2021-10-27
CZ072,Zlínský kraj,138,1736,582555,121339,12503,417.1279964981847,13,True,0,173.8929775257749,10,True,2,13.88466767975686,11,True,2,1.7624365482233502,25,63,2021-10-27
CZ080,Moravskoslezský kraj,506,4627,1200539,240829,34556,612.391600772653,16,True,0,330.10974591930375,13,True,2,13.389859937492766,11,True,2,1.3766736090449272,15,59,2021-10-27
