date,code,name,score
2020-03-16,1000,Praha,62
2020-03-16,2101,Benešov,34
2020-03-16,2102,Beroun,60
2020-03-16,2103,Brandýs nad Labem-Stará Boleslav,34
2020-03-16,2104,Čáslav,60
2020-03-16,2105,Černošice,32
2020-03-16,2106,Český Brod,60
2020-03-16,2107,Dobříš,30
2020-03-16,2108,Hořovice,0
2020-03-16,2109,Kladno,30
2020-03-16,2110,Kolín,30
2020-03-16,2111,Kralupy nad Vltavou,55
2020-03-16,2112,Kutná Hora,10
2020-03-16,2113,Lysá nad Labem,60
2020-03-16,2114,Mělník,62
2020-03-16,2115,Mladá Boleslav,30
2020-03-16,2116,Mnichovo Hradiště,60
2020-03-16,2117,Neratovice,10
2020-03-16,2118,Nymburk,42
2020-03-16,2119,Poděbrady,60
2020-03-16,2120,Příbram,60
2020-03-16,2121,Rakovník,60
2020-03-16,2122,Říčany,60
2020-03-16,2123,Sedlčany,0
2020-03-16,2124,Slaný,46
2020-03-16,2125,Vlašim,30
2020-03-16,2126,Votice,60
2020-03-16,3101,Blatná,30
2020-03-16,3102,České Budějovice,0
2020-03-16,3103,Český Krumlov,30
2020-03-16,3104,Dačice,30
2020-03-16,3105,Jindřichův Hradec,30
2020-03-16,3106,Kaplice,7
2020-03-16,3107,Milevsko,30
2020-03-16,3108,Písek,3
2020-03-16,3109,Prachatice,57
2020-03-16,3110,Soběslav,30
2020-03-16,3111,Strakonice,7
2020-03-16,3112,Tábor,3
2020-03-16,3113,Trhové Sviny,30
2020-03-16,3114,Třeboň,30
2020-03-16,3115,Týn nad Vltavou,30
2020-03-16,3116,Vimperk,15
2020-03-16,3117,Vodňany,30
2020-03-16,3201,Blovice,60
2020-03-16,3202,Domažlice,30
2020-03-16,3203,Horažďovice,60
2020-03-16,3204,Horšovský Týn,60
2020-03-16,3205,Klatovy,30
2020-03-16,3206,Kralovice,30
2020-03-16,3207,Nepomuk,60
2020-03-16,3208,Nýřany,30
2020-03-16,3209,Plzeň,62
2020-03-16,3210,Přeštice,30
2020-03-16,3211,Rokycany,60
2020-03-16,3212,Stod,30
2020-03-16,3213,Stříbro,30
2020-03-16,3214,Sušice,60
2020-03-16,3215,Tachov,60
2020-03-16,4101,Aš,60
2020-03-16,4102,Cheb,30
2020-03-16,4103,Karlovy Vary,64
2020-03-16,4104,Kraslice,60
2020-03-16,4105,Mariánské Lázně,34
2020-03-16,4106,Ostrov,60
2020-03-16,4107,Sokolov,30
2020-03-16,4201,Bílina,30
2020-03-16,4202,Děčín,11
2020-03-16,4203,Chomutov,30
2020-03-16,4204,Kadaň,30
2020-03-16,4205,Litoměřice,42
2020-03-16,4206,Litvínov,30
2020-03-16,4207,Louny,30
2020-03-16,4208,Lovosice,30
2020-03-16,4209,Most,30
2020-03-16,4210,Podbořany,30
2020-03-16,4211,Roudnice nad Labem,30
2020-03-16,4212,Rumburk,60
2020-03-16,4213,Teplice,30
2020-03-16,4214,Ústí nad Labem,47
2020-03-16,4215,Varnsdorf,30
2020-03-16,4216,Žatec,30
2020-03-16,5101,Česká Lípa,60
2020-03-16,5102,Frýdlant,60
2020-03-16,5103,Jablonec nad Nisou,62
2020-03-16,5104,Jilemnice,60
2020-03-16,5105,Liberec,30
2020-03-16,5106,Nový Bor,60
2020-03-16,5107,Semily,30
2020-03-16,5108,Tanvald,30
2020-03-16,5109,Turnov,60
2020-03-16,5110,Železný Brod,60
2020-03-16,5201,Broumov,60
2020-03-16,5202,Dobruška,60
2020-03-16,5203,Dvůr Králové nad Labem,30
2020-03-16,5204,Hořice,30
2020-03-16,5205,Hradec Králové,25
2020-03-16,5206,Jaroměř,30
2020-03-16,5207,Jičín,30
2020-03-16,5208,Kostelec nad Orlicí,0
2020-03-16,5209,Náchod,32
2020-03-16,5210,Nová Paka,32
2020-03-16,5211,Nové Město nad Metují,30
2020-03-16,5212,Nový Bydžov,30
2020-03-16,5213,Rychnov nad Kněžnou,30
2020-03-16,5214,Trutnov,30
2020-03-16,5215,Vrchlabí,60
2020-03-16,5301,Česká Třebová,30
2020-03-16,5302,Hlinsko,30
2020-03-16,5303,Holice,30
2020-03-16,5304,Chrudim,30
2020-03-16,5305,Králíky,60
2020-03-16,5306,Lanškroun,38
2020-03-16,5307,Litomyšl,49
2020-03-16,5308,Moravská Třebová,30
2020-03-16,5309,Pardubice,37
2020-03-16,5310,Polička,30
2020-03-16,5311,Přelouč,30
2020-03-16,5312,Svitavy,30
2020-03-16,5313,Ústí nad Orlicí,22
2020-03-16,5314,Vysoké Mýto,30
2020-03-16,5315,Žamberk,30
2020-03-16,6101,Bystřice nad Pernštejnem,30
2020-03-16,6102,Havlíčkův Brod,32
2020-03-16,6103,Humpolec,60
2020-03-16,6104,Chotěboř,30
2020-03-16,6105,Jihlava,30
2020-03-16,6106,Moravské Budějovice,30
2020-03-16,6107,Náměšť nad Oslavou,30
2020-03-16,6108,Nové Město na Moravě,30
2020-03-16,6109,Pacov,60
2020-03-16,6110,Pelhřimov,30
2020-03-16,6111,Světlá nad Sázavou,43
2020-03-16,6112,Telč,60
2020-03-16,6113,Třebíč,30
2020-03-16,6114,Velké Meziříčí,30
2020-03-16,6115,Žďár nad Sázavou,60
2020-03-16,6201,Blansko,20
2020-03-16,6202,Boskovice,30
2020-03-16,6203,Brno,37
2020-03-16,6204,Břeclav,3
2020-03-16,6205,Bučovice,30
2020-03-16,6206,Hodonín,30
2020-03-16,6207,Hustopeče,30
2020-03-16,6208,Ivančice,30
2020-03-16,6209,Kuřim,30
2020-03-16,6210,Kyjov,13
2020-03-16,6211,Mikulov,30
2020-03-16,6212,Moravský Krumlov,30
2020-03-16,6213,Pohořelice,30
2020-03-16,6214,Rosice,11
2020-03-16,6215,Slavkov u Brna,30
2020-03-16,6216,Šlapanice,30
2020-03-16,6217,Tišnov,11
2020-03-16,6218,Veselí nad Moravou,30
2020-03-16,6219,Vyškov,30
2020-03-16,6220,Znojmo,22
2020-03-16,6221,Židlochovice,25
2020-03-16,7101,Hranice,40
2020-03-16,7102,Jeseník,30
2020-03-16,7103,Konice,60
2020-03-16,7104,Lipník nad Bečvou,60
2020-03-16,7105,Litovel,75
2020-03-16,7106,Mohelnice,60
2020-03-16,7107,Olomouc,19
2020-03-16,7108,Prostějov,17
2020-03-16,7109,Přerov,30
2020-03-16,7110,Šternberk,21
2020-03-16,7111,Šumperk,32
2020-03-16,7112,Uničov,81
2020-03-16,7113,Zábřeh,30
2020-03-16,7201,Bystřice pod Hostýnem,60
2020-03-16,7202,Holešov,60
2020-03-16,7203,Kroměříž,30
2020-03-16,7204,Luhačovice,30
2020-03-16,7205,Otrokovice,30
2020-03-16,7206,Rožnov pod Radhoštěm,37
2020-03-16,7207,Uherské Hradiště,63
2020-03-16,7208,Uherský Brod,5
2020-03-16,7209,Valašské Klobouky,30
2020-03-16,7210,Valašské Meziříčí,30
2020-03-16,7211,Vizovice,30
2020-03-16,7212,Vsetín,30
2020-03-16,7213,Zlín,15
2020-03-16,8101,Bílovec,43
2020-03-16,8102,Bohumín,30
2020-03-16,8103,Bruntál,30
2020-03-16,8104,Český Těšín,30
2020-03-16,8105,Frenštát pod Radhoštěm,30
2020-03-16,8106,Frýdek-Místek,13
2020-03-16,8107,Frýdlant nad Ostravicí,30
2020-03-16,8108,Havířov,5
2020-03-16,8109,Hlučín,30
2020-03-16,8110,Jablunkov,30
2020-03-16,8111,Karviná,30
2020-03-16,8112,Kopřivnice,30
2020-03-16,8113,Kravaře,30
2020-03-16,8114,Krnov,60
2020-03-16,8115,Nový Jičín,30
2020-03-16,8116,Odry,64
2020-03-16,8117,Opava,30
2020-03-16,8118,Orlová,30
2020-03-16,8119,Ostrava,7
2020-03-16,8120,Rýmařov,30
2020-03-16,8121,Třinec,30
2020-03-16,8122,Vítkov,30
2020-03-17,1000,Praha,64
2020-03-17,2101,Benešov,34
2020-03-17,2102,Beroun,60
2020-03-17,2103,Brandýs nad Labem-Stará Boleslav,34
2020-03-17,2104,Čáslav,60
2020-03-17,2105,Černošice,30
2020-03-17,2106,Český Brod,30
2020-03-17,2107,Dobříš,30
2020-03-17,2108,Hořovice,30
2020-03-17,2109,Kladno,62
2020-03-17,2110,Kolín,30
2020-03-17,2111,Kralupy nad Vltavou,55
2020-03-17,2112,Kutná Hora,60
2020-03-17,2113,Lysá nad Labem,30
2020-03-17,2114,Mělník,60
2020-03-17,2115,Mladá Boleslav,60
2020-03-17,2116,Mnichovo Hradiště,30
