den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
sobota,2020-10-31,3101,Blatná,144,10,5,237,20,7,15,16,366,3101,Blatná,13668,3093,1799.8244073748904,16,True,2,614.2903330100227,16,True,2,39.34426229508197,25,True,2,1.0666666666666667,10,73
sobota,2020-10-31,3102,České Budějovice,1648,246,123,2764,392,193,93,99,4590,3102,České Budějovice,162553,31763,2103.9291800212854,16,True,2,1486.0057299373486,16,True,2,35.904139433551194,25,False,0,0.8980926430517712,5,66
sobota,2020-10-31,3103,Český Krumlov,258,51,28,369,59,32,26,27,727,3103,Český Krumlov,41687,7954,1144.2416100942742,16,True,2,1018.3555443801861,16,True,2,35.488308115543326,25,False,0,1.0886075949367089,10,71
sobota,2020-10-31,3104,Dačice,169,26,12,234,33,17,17,16,425,3104,Dačice,18783,3961,1501.3576106053345,16,True,2,883.6152486745772,16,True,2,39.76470588235294,25,True,2,1.4083333333333334,20,83
sobota,2020-10-31,3105,Jindřichův Hradec,540,109,54,836,151,76,39,31,1352,3105,Jindřichův Hradec,47113,10139,2177.7428735168637,16,True,2,1617.5165203669,16,True,2,39.94082840236686,25,False,0,1.1713665943600868,10,71
sobota,2020-10-31,3106,Kaplice,93,17,7,137,24,9,13,13,289,3106,Kaplice,19869,3447,1031.7580149982384,16,True,2,841.311285175515,16,True,2,32.17993079584775,25,False,0,0.8378378378378378,5,66
sobota,2020-10-31,3107,Milevsko,204,29,16,338,51,29,17,14,492,3107,Milevsko,18235,4397,2456.813819577735,16,True,2,1728.4512167386856,16,True,2,41.46341463414634,25,False,0,0.8192771084337349,5,66
sobota,2020-10-31,3108,Písek,402,44,17,627,74,27,21,13,1254,3108,Písek,53352,11354,1529.4646873594243,16,True,2,757.4423110797957,16,True,2,32.057416267942585,25,True,2,0.9262672811059908,5,68
sobota,2020-10-31,3109,Prachatice,277,46,21,413,65,28,30,21,678,3109,Prachatice,33458,6497,1524.299121286389,16,True,2,1354.4712944435894,16,True,2,40.85545722713864,25,True,2,1.173728813559322,10,73
sobota,2020-10-31,3110,Soběslav,227,58,36,325,68,42,23,22,617,3110,Soběslav,21947,4860,1799.7904041554655,16,True,2,1769.5473251028804,16,True,2,36.790923824959485,25,False,0,1.1293532338308458,10,71
sobota,2020-10-31,3111,Strakonice,434,65,28,737,100,42,47,42,1100,3111,Strakonice,45223,9454,1919.3773080069875,16,True,2,1174.106198434525,16,True,2,39.45454545454545,25,False,0,0.8875255623721882,5,66
sobota,2020-10-31,3112,Tábor,897,160,83,1246,215,110,100,85,2079,3112,Tábor,80648,17257,1936.8118242237872,16,True,2,1674.6827374398795,16,True,2,43.14574314574315,25,True,2,1.2741477272727273,15,78
sobota,2020-10-31,3113,Trhové Sviny,182,20,6,273,34,12,12,16,462,3113,Trhové Sviny,19267,3657,1790.6264597498314,16,True,2,1066.447908121411,16,True,2,39.39393939393939,25,False,0,1.0055248618784531,10,71
sobota,2020-10-31,3114,Třeboň,192,38,23,285,44,28,21,16,504,3114,Třeboň,24796,5563,1306.6623648975642,16,True,2,862.8437893223081,16,True,2,38.095238095238095,25,True,2,1.411764705882353,20,83
sobota,2020-10-31,3115,Týn nad Vltavou,105,13,4,183,20,7,5,3,282,3115,Týn nad Vltavou,14083,2594,1498.2603138535824,16,True,2,886.6615265998457,16,True,2,37.234042553191486,25,False,0,1.0714285714285714,10,71
sobota,2020-10-31,3116,Vimperk,169,31,18,240,49,31,22,17,411,3116,Vimperk,17520,3591,1643.835616438356,16,True,2,1837.9281537176273,16,True,2,41.119221411192214,25,True,2,1.2426470588235294,15,78
sobota,2020-10-31,3117,Vodňany,84,13,5,154,22,10,6,5,228,3117,Vodňany,11881,2251,1380.3551889571586,16,True,2,1377.1657041314973,16,True,2,36.84210526315789,25,False,0,0.9333333333333333,5,66
sobota,2020-10-31,3201,Blovice,92,15,5,139,23,9,11,10,280,3201,Blovice,12185,2566,1526.466967583094,16,True,2,1247.0771628994544,16,True,2,32.857142857142854,25,False,0,0.8214285714285714,5,66
sobota,2020-10-31,3202,Domažlice,298,56,26,536,96,46,22,20,835,3202,Domažlice,40679,8358,1543.794095233413,16,True,2,1375.9272553242404,16,True,2,35.688622754491014,25,False,0,0.8441926345609065,5,66
sobota,2020-10-31,3203,Horažďovice,94,13,7,125,15,8,6,5,271,3203,Horažďovice,11535,2662,1317.728651928912,16,True,2,713.7490608564989,16,True,2,34.686346863468636,25,True,2,1.5666666666666667,20,83
sobota,2020-10-31,3204,Horšovský Týn,95,12,6,185,31,13,7,5,406,3204,Horšovský Týn,14825,2829,1524.4519392917368,16,True,2,1272.5344644750796,16,True,2,23.39901477832512,25,False,0,0.7480314960629921,0,61
sobota,2020-10-31,3205,Klatovy,462,72,34,716,116,58,37,31,1127,3205,Klatovy,50720,10750,1932.1766561514196,16,True,2,1218.6046511627908,16,True,2,40.993788819875775,25,True,2,0.825,5,68
sobota,2020-10-31,3206,Kralovice,146,27,11,306,46,22,13,10,601,3206,Kralovice,22367,4828,1873.295479948138,16,False,0,1284.175642087821,16,True,2,24.292845257903494,25,False,0,0.553030303030303,0,59
sobota,2020-10-31,3207,Nepomuk,71,13,4,122,25,8,3,5,246,3207,Nepomuk,11583,2650,1312.2679789346457,16,True,2,981.1320754716982,16,True,2,28.86178861788618,25,False,0,0.8255813953488372,5,66
